taxon	sequenceID	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/EU200669	EU200669	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Bos taurus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/EU200677	EU200677	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Sus scrofa	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/GQ200736	GQ200736	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Tamias sibiricus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/GU938300	GU938300	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Sus scrofa	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/HQ113143	HQ113143	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Pan troglodytes	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/JF429835	JF429835	Parvovirinae	Bocaparvovirus	-	-	-	-	-	Sus scrofa	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/JF504699	JF504699	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Ovis aries	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/JN202450	JN202450	Parvovirinae	Amdoparvovirus	-	-	-	-	-	Urocyon cinereoargenteus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/JN420361	JN420361	Parvovirinae	Bocaparvovirus	-	-	-	-	-	Zalophus californianus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/JX505432	JX505432	Parvovirinae	Protoparvovirus	-	-	-	-	-	Homo sapiens (cell line)	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/KJ641666	KJ641666	Parvovirinae	Protoparvovirus	-	-	-	-	-	Hipposideros pomona	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/MF682922	MF682922	Parvovirinae	Bocaparvovirus	-	-	-	-	-	Rhinolophus pusillus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/MF682923	MF682923	Parvovirinae	Bocaparvovirus	-	-	-	-	-	Rhinolophus pusillus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/MG745669	MG745669	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Bolomys lasiurus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/MG745671	MG745671	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Didelphis albiventris	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/MG972981	MG972981	Parvovirinae	Copiparvovirus	-	-	-	-	-	Bos taurus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_000883	NC_000883	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Homo sapiens	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_001510	NC_001510	Parvovirinae	Protoparvovirus	-	-	-	-	-	Mus musculus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_001539	NC_001539	Parvovirinae	Protoparvovirus	-	-	-	-	-	Canis familiaris	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_001540	NC_001540	Parvovirinae	Bocaparvovirus	-	-	-	-	-	Bos taurus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_001662	NC_001662	Parvovirinae	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_002190	NC_002190	Epiparvovirinae	Penstyldensovirus	-	-	-	-	-	Litopenaeus stylirostris	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_004285	NC_004285	Epiparvovirinae	Brevidensovirus	-	-	-	-	-	Aedes albopictus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_004287	NC_004287	Densovirinae	Iteradensovirus	-	-	-	-	-	Bombyx mori	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_004442	NC_004442	Parvovirinae	Bocaparvovirus	-	-	-	-	-	Canis familiaris	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_006148	NC_006148	Parvovirinae	Dependoparvovirus	-	-	-	-	-	Python regius	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_006259	NC_006259	Parvovirinae	Copiparvovirus	-	-	-	-	-	Bos taurus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_014357	NC_014357	Epiparvovirinae	Hepandensovirus	-	-	-	-	-	Fenneropenaeus chinensis	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_016744	NC_016744	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Eidolon helvum	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_024452	NC_024452	Parvovirinae	Aveparvovirus	-	-	-	-	-	Gallus gallus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_026815	NC_026815	Parvovirinae	Protoparvovirus	-	-	-	-	-	Crocidura hirta	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_030837	NC_030837	Parvovirinae	Protoparvovirus	-	-	-	-	-	Enhydra lutris	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_031670	NC_031670	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Odocoileus hemionus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_034445	NC_034445	Parvovirinae	Amdoparvovirus	-	-	-	-	-	Mephitis mephitis	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/NC_040562	NC_040562	Epiparvovirinae	Chapparvovirus	-	-	-	-	-	Sus scrofa	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/fasta-refseqs-epv/proto.1-rattus-con	proto.1-rattus-con	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/fasta-refseqs-epv/proto.13-monodelphis	proto.13-monodelphis	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/fasta-refseqs-epv/proto.14-tamandua	proto.14-tamandua	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/fasta-refseqs-epv/proto.2-apodemus	proto.2-apodemus	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/fasta-refseqs-epv/proto.3-mus_spretus	proto.3-mus_spretus	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/U26342	U26342	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Macaca fascicularis	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/U34255	U34255	Parvovirinae	Protoparvovirus	-	-	-	-	-	Cricetelus griseus	-	-
alignment/AL_EVE_TREE_Parvoviridae/member/ncbi-refseqs/U86868	U86868	-	-	-	-	-	-	-	-	-	-
