sequenceID	in source?	locus_numeric_id	host_group_tax_rank	host_group_name	structure	#species	#seqs	In align?	assign_clade	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	intact orf(s)?	expressed?	nearest_upstream_orf	nearest_downstream_orf	human_chr	minimum_age_ortho	pubmed_id	insertion_name	insertion_full_name	virus_subfamily	source_name	virus_genus
dependo.43-octodon	yes	43	genus	Octodon	rep	5	5	yes	Dependo3	Gliridae	Dependo3	Gliridae	NULL	NULL	Rep	Yes	NK	NK	NK		NA	dependo.43-octodon	dependo.43-octodon	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.44-bathyergidae	no	44	family	Bathyergidae	rep	2	2	no	Dependo3	NK	Dependo3	NK	NULL	NULL	no	nk	RPS12 	EYA4	NK	34	NA	dependo.44-bathyergidae	dependo.44-bathyergidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.45-bathyergidae	no	45	family	Bathyergidae	rep	2	2	no	Dependo3	Gliridae	Dependo3	Gliridae	NULL	NULL	no	nk	RPS12/SLC18B1	EYA4	NK		NA	dependo.45-bathyergidae	dependo.45-bathyergidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.46-gliridae	yes	46	family	Rodents	genome*	1	2	yes	Dependo3	Dependo_B	Dependo3	Dependo_B	Dependo3	Dependo_B	no	nk	?	?	NK		NA	dependo.46-gliridae	dependo.46-gliridae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.48-mus		48	species	Mus	rep				Dependo3	Dependo_B	Dependo3	Dependo_B	NK	NK	no	nk	?	?	NK		NA	dependo.48-rodent	dependo.48-rodent	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.51-muridae	yes	51	family	Muridae	rep	4	4	no	NK	NK	NK	NK	NULL	NULL	no	nk	Eif4b	ENSMSIG00000016524	NK		NA	dependo.51-muridae	dependo.51-muridae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.53-fukomys	yes	53	species	Fukomys	rep	1	1	no	Dependo3	Gliridae	Dependo3	Gliridae	NULL	NULL	no	nk	NK	NK	NK		NA	dependo.53-fukomys	dependo.53-fukomys	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.54-cavia	yes	54	genus	Cavia	rep	3	3	no	Dependo3	Glires	Dependo3	Glires	NK	NK	no	nk	RBFOX2	Myo9-copy	NK		NA	dependo.54-cavia	dependo.54-cavia	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.55-rodent	yes	55	order	Rodents	rep			no	NK	NK	NK	NK	NULL	NULL	no	nk	ADNP	PARD6B	NK		NA	dependo.55-rodent	dependo.55-rodent	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.56-cavia	yes	56	family	Cavidae	rep	3	3	yes	Dependo3	Gliridae	Dependo3	Gliridae	NULL	NULL	no	nk	TRAT1	MORC1	NK		NA	dependo.56-cavia	dependo.56-cavia	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.63-rodent		63	order	Cricetidae					NK	NK	NK	NK	NK	NK	no	Yes	LRRGT00080 	LRRGT00080	NK	NK	NA	dependo.63-rodent	dependo.63-rodent	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.86-Phyllostomidae	no	86	family	Phyllostomidae	genome	5	5	yes	Dependo2	Lemuria	Dependo2	Lemuria	Dependo2	Lemuria	no	nk	ENSRFEG00010019855	HSF2	NK	NK	NA	dependo.86-Phyllostomidae	dependo.86-Phyllostomidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.160-gymnobelideus	yes	160	order	Diprotodontia	genome	1	1	yes	Dependo3	Marsupial	Dependo3	Marsupial	Dependo3	Marsupial	no	yes	lncRNA (ENSMODG00000048968)	lncRNA (ENSMODG00000048968)	NK		NA	dependo.160-gymnobelideus	dependo.160-gymnobelideus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.174-Pipistrellus-pipistrellus		174	species	Pipistrellus	genome	1	1	yes	NK	NK	NK	NK	NK	NK	no	nk	NAV3	SYT1	NK	NK	NA	dependo.174-Pipistrellus-pipistrellus	dependo.174-Pipistrellus-pipistrellus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.177-Pteronotus-parnellii	no	177	species	Pteronotus	genome	2	2	yes	Dependo2	Lemuria	Dependo2	Lemuria	Dependo2	Lemuria	no	nk	NK	NK	NK	NK	NA	dependo.177-Pteronotus-parnellii	dependo.177-Pteronotus-parnellii	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.180-Rhinolophus-sinicus		180	species	Rhinolophus-sinicus					NK	NK	NK	NK	NK	NK	no	nk	ENSRFEG00010005236	EPHA6	NK	NK	NA	dependo.180-Rhinolophus-sinicus	dependo.180-Rhinolophus-sinicus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.190-Mus_spretus		190	genus	Mus					NK	NK	NK	NK	NK	NK	no	nk	Pdzrn4	Pdzrn4	NK	NK	NA	dependo.190-Mus_spretus	dependo.190-Mus_spretus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.191-sarcophilus		191	order	Diprotodontia	rep				NK	NK	NK	NK	NK	NK	no	nk	ENSSHAG00000016096 (myoneurin)	ENSSHAG00000017014	NK		NA	dependo.191-sarcophilus	dependo.191-sarcophilus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.192-sarcophilus		192	order	Diprotodontia	rep				NK	NK	NK	NK	NK	NK	no	nk	ts	IGSF11	NK		NA	dependo.192-sarcophilus	dependo.192-sarcophilus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.197-ornithorhynchus	no	197	species	Ornithorhynchus	rep			no	Dependo2	Lemuria	Dependo2	Lemuria	NULL	NULL	no	nk	NK	NK	NK		NA	dependo.197-ornithorhynchus	dependo.197-ornithorhynchus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.198-ornithorhynchus	no	198	species	Ornithorhynchus	rep			no	Dependo1	Sauria	Dependo1	Sauria	NULL	NULL	no	nk	NK	NK	NK		NA	dependo.198-ornithorhynchus	dependo.198-ornithorhynchus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.199-ornithorhynchus	no	199	species	Ornithorhynchus	rep			no	Dependo2	Lemuria	Dependo2	Lemuria	NULL	NULL	no	nk	TBC1D32	ENSOANG00000014187	NK		NA	dependo.199-ornithorhynchus	dependo.199-ornithorhynchus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.203-gekko	yes	202	species	Gekko	rep	1	1	no	NK	NK	NK	NK	NULL	NULL	no	nk	NK	NK	NK	NK	NA	dependo.203-gekko	dependo.203-gekko	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.201-thamnophis		211	species	Thamnophis	vp				NK	NK	NK	NK	NK	NK	no	nk	ENSRFEG00010017356	ENSRFEG00010017376	NK	NK	NA	dependo.201-thamnophis	dependo.201-thamnophis	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.221-pelusios	no	221	species	Pelusios	rep				NK	NK	Dependo1	Sauria	NULL	NULL	no	nk	ENSPCEG00000005322	ENSPCEG00000005322	NK	NK	NA	dependo.221-pelusios	dependo.221-pelusios	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.365-passeriformes	yes	365	order	Passeriformes	rep	7	7	yes	NK	NK	NK	NK	NULL	NULL	no	nk	ANKRD1	PCGF5	NK	NK	NA	dependo.365-passeriformes	dependo.365-passeriformes	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.366-passeriformes	yes	366	order	Passeriformes	rep	20	20	yes	NK	NK	NK	NK	NULL	NULL	no	nk	PTPN13	AFF1	NK	NK	NA	dependo.366-passeriformes	dependo.366-passeriformes	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.370-pelecanus	yes	370	species	Pelecanus	rep			no	Dependo3	Dependo_B	NK	NK	NULL	NULL	no	nk	NK	NK	NK		NA	dependo.370-pelecanus	dependo.370-pelecanus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
X59532	yes	500	genus	Betaherpes	rep	1	1	yes	Herpesvirus	Betaherpes	Herpesvirus	Betaherpes	NULL	NULL	no	nk	NK	NK	NK	NK	NA	X59532	X59532	Parvovirinae	ncbi-refseqs-dependo-epv	Dependoparvovirus
dependo.500-eHV.carlito	yes	500	genus	Betaherpes	rep	1	1	yes	Herpesvirus	Betaherpes	Herpesvirus	Betaherpes	NULL	NULL	no	nk	NK	NK	NK	NK	NA	dependo.500-eHV.carlito	dependo.500-eHV.carlito	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.500-eHV.mustela	yes	500	genus	Betaherpes	rep	1	1	yes	Herpesvirus	Betaherpes	Herpesvirus	Betaherpes	NULL	NULL	no	nk	NK	NK	NK	NK	NA	dependo.500-eHV.mustela	dependo.500-eHV.mustela	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
