sequenceID	locus_numeric_id	locus_name	host_species	empty_site	host_class	host_superorder	host_order	host_family	host_genus
MN782252	1	dependo.1-whippomorpha	Delphinus delphis	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Delphinus
MN782253	1	dependo.1-whippomorpha	Eschrichtius robustus	no	Mammalia	Laurasiatheria	Cetacea	Eschrichtiidae	Eschrichtius
MN782254	1	dependo.1-whippomorpha	Lagenorhynchus obliquidens	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Lagenorhynchus
MN782255	1	dependo.1-whippomorpha	Lissodelphis borealis	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Lissodelphis
MN782256	1	dependo.1-whippomorpha	Megaptera novaeangliae	no	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Megaptera
MN782257	1	dependo.1-whippomorpha	Mesoplodon stejnegeri	no	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Mesoplodon
MN782258	1	dependo.1-whippomorpha	Orcinus orca	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Orcinus
MN782259	1	dependo.1-whippomorpha	Phocoena phocoena	no	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Phocoena
MN782260	1	dependo.1-whippomorpha	Phocoenoides dalli	no	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Phocoenoides
MN782261	1	dependo.1-whippomorpha	Stenella coeruleoalba	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Stenella
MN782262	1	dependo.1-whippomorpha	Ziphius cavirostris	no	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Ziphius
MN782263	3	dependo.3-lagomorpha	Brachylagus idahoensis	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Brachylagus
MN782264	3	dependo.3-lagomorpha	Lepus americanus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus
MN782265	3	dependo.3-lagomorpha	Lepus californicus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus
MN782266	3	dependo.3-lagomorpha	Lepus europaeus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus
MN782267	3	dependo.3-lagomorpha	Oryctolagus cuniculus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus
MN782268	3	dependo.3-lagomorpha	Sylvilagus audubonii	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Sylvilagus
MN782269	3	dependo.3-lagomorpha	Sylvilagus floridanus	no	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Sylvilagus
MN782270	2	dependo.2-vespertilionidae	Eptesicus andinus	no	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus
MN782271	2	dependo.2-vespertilionidae	Lasionycteris noctivagans	no	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Lasionycteris
MN782272	2	dependo.2-vespertilionidae	Plecotus ognevi	no	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Plecotus
