sequenceID	locus_numeric_id	source_name	virus_subfamily	virus_genus	host_group_taxlevel	host_group_name	assign_clade	assign_subclade	assign_clade	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	intact orf(s)?	expressed?	nearest_upstream_orf	nearest_downstream_orf	minimum_age_ortho
proto.163-Phascolarctos	163	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Class	Mammalia	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.164-Macropus	164	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Macropus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.165-Phascolarctos	165	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.166-Gymnobelideus	166	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobelideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.167-Vombatus_ursinus	167	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Vombatus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.168-Myocastor_coypus	168	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Myocastor	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.171-Monodelphis_domestica	171	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Monodelphis	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.172-Monodelphis_domestica	172	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Monodelphis	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.173-Graphiurus_murinus	173	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Graphiurus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.174-Octodon_degus	174	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Order	Rodents	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.176-Nannospalax_galili	176	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Nannospalax	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.177-Erethizon_dorsatum	177	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Erethizon	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.178-Erethizon_dorsatum	178	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Erethizon	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.179-Microgale_talazaci	179	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Microgale	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.180-Phascolarctos_cinereus	180	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.181-Phascolarctos_cinereus	181	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.182-Phascolarctos_cinereus	182	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.183-Phascolarctos_cinereus	183	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.184-Phascolarctos_cinereus	184	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.185-Phascolarctos_cinereus	185	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.186-Phascolarctos_cinereus	186	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.187-Phascolarctos_cinereus	187	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.188-Phascolarctos_cinereus	188	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Phascolarctos	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.189-Meriones_unguiculatus	189	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Order	Rodents	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.190-Echinops_telfairi	190	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Echinops	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.191-Myocastor_coypus	191	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Myocastor	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.192-Ctenomys_sociabilis	192	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Ctenomys	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.193-Ctenomys_sociabilis	193	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Ctenomys	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.194-Sarcophilus_harrisii	194	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Sarcophilus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.195-Sarcophilus_harrisii	195	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Sarcophilus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.196-Sarcophilus_harrisii	196	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Sarcophilus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.197-Dinomys_branickii	197	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Dinomys	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.198-Monodelphis_domestica	198	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Monodelphis	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.199-Orycteropus_afer	199	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Orycteropus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.200-Orycteropus_afer	200	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Orycteropus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.201-Chrysochloris_asiatica	201	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Chrysochloris	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.202-Chrysochloris_asiatica	202	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Chrysochloris	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.203-Gymnobelideus_leadbeateri	203	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobelideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.204-Gymnobelideus_leadbeateri	204	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobelideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.205-Gymnobelideus_leadbeateri	205	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobelideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.206-Gymnobelideus_leadbeateri	206	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobelideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.207-Gymnobelideus_leadbeateri	207	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Gymnobelideus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.208-Octodon_degus	208	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Octodon	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.217-Vombatus_ursinus	217	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Vombatus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.218-Vombatus_ursinus	218	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Vombatus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
proto.219-Trichechus_manatus	219	fasta-refseqs-proto-epv	Parvovirinae	Protoparvovirus	Species	Trichechus	Protoparvovirus	Protoparvovirus	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	Proto-B	NK	NK	NK	NK	NK
