Record_ID	host_species	host_class	host_superorder	host_order	host_family	host_genus	record_id	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_name	locus_numeric_id	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	locus_structure	sequence_length
90	Physeter_catodon	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Physeter	27916	Physeter_catodon	low_coverage	2.0.2	9755_ref_Physeter_macrocephalus-2.0.2_chrUn.fa	gi|589812348|ref|NW_006724242.1|	+	675501	679319	dependo.1-whippomorpha	1	623	977	1992	3077	367	483	73.297	0	1	6	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3819
191	Kogia_breviceps	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Kogia	27360	Kogia_breviceps	low_coverage	v1_BIUU	GCA_004363705.1_KogBre_v1_BIUU_genomic.fna	RJWL010008168.1	-	26677	30493	dependo.1-whippomorpha	1	513	977	1661	3076	478	607	68.828	0	1	7	0	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-NS[dependo.1-whippomorpha(-)]	3817
43	Platanista_minor	Mammalia	Laurasiatheria	Cetacea	Platanistidae	Platanista	27926	Platanista_minor	low_coverage	PlaMin_v1_BIUU	GCA_004363435.1_PlaMin_v1_BIUU_genomic.fna	RJWK010029324.1	+	11110	14904	dependo.1-whippomorpha	1	513	1032	1646	3214	545	661	66.239	0	1	9	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3795
95	Sousa_chinensis	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Sousa	27500	Sousa_chinensis	low_coverage	ASM352133v1	GCA_003521335.1_ASM352133v1_genomic.fna	QWLN01044866.1	-	228872	232544	dependo.1-whippomorpha	1	779	1205	2294	3673	460	724	81.739	0	1	4	0	VP[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]	3673
97	Phocoena_phocoena	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Phocoena	27921	Phocoena_phocoena	low_coverage	GCA_003071005	GCA_003071005.1_ASM307100v1_genomic.fna	PKGA01132905.1	+	1807844	1811316	dependo.1-whippomorpha	1	779	1012	1986	2690	235	465	93.191	0	1	1	0	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]	3473
62	Macropus_eugenii	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	27292	Macropus_eugenii	low_coverage	goldenpath_macEug2	macEug2.fa	GL155583	-	7173	9111	dependo.1-whippomorpha	1	779	865	28	288	87	129	64.368	6.33	56	0	0	VP[dependo.XX-Macropus_eugenii(-)]-VP[dependo.XX-Macropus_eugenii(-)]	1939
63	Myotis_davidii	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	28006	Myotis_davidii	low_coverage	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_25.fa	gi|432086621|gb|KB116268.1|	+	746140	750699	dependo.2-vespertilionidae-con	2	395	656	1480	2265	262	494	90.458	0	1	0	0	VP[dependo.2-vespertilionidae(+)]	4560
69	Lasiurus_borealis	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Lasiurus	27410	Lasiurus_borealis	low_coverage	LasBor_v1	GCA_004026805.1_LasBor_v1_BIUU_genomic.fna	PVJN01009107.1	+	7645	12178	dependo.2-vespertilionidae-con	2	105	673	302	2005	579	837	75.648	0	1	6	0	NS[dependo.2-vespertilionidae(+)]-VP[dependo.2-vespertilionidae(+)]-VP[dependo.2-vespertilionidae(+)]	4534
109	Murina_aurata_feae	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Murina	27502	Murina_aurata_feae	low_coverage	MurFea_v1	GCA_004026665.1_MurFea_v1_BIUU_genomic.fna	PVJC01011345.1	+	28905	33400	dependo.2-vespertilionidae-con	2	227	646	910	2139	421	638	76.01	0	1	3	0	NS[dependo.2-vespertilionidae(+)]-VP[dependo.2-vespertilionidae(+)]	4496
247	Myotis_brandtii	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	27897	Myotis_brandtii	low_coverage	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	gi|549497831|ref|NW_005366109.1|	-	2423423	2427771	dependo.2-vespertilionidae-con	2	227	649	695	1960	426	698	82.394	0	1	3	0	NS[dependo.2-vespertilionidae(-)]	4349
133	Eptesicus_fuscus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus	27773	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_17.fa	gi|411115880|gb|JH977683.1|	+	1718232	1722570	dependo.2-vespertilionidae-con	2	1	995	4	2988	1042	1035	59.213	0	1	17	0	NS[dependo.2-vespertilionidae(+)]	4339
167	Antrozous_pallidus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Antrozous	27904	Antrozous_pallidus	low_coverage	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	VMDP01009643.1	+	23666	27986	dependo.2-vespertilionidae-con	2	416	889	1252	2667	482	534	63.693	0	1	4	0	NS[dependo.2-vespertilionidae(+)]-VP[dependo.2-vespertilionidae(+)]	4321
251	Myotis_lucifugus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	27684	Myotis_lucifugus	low_coverage	goldenpath_myoLuc2	myoLuc2.fa	GL430312	-	465565	469844	dependo.2-vespertilionidae-con	2	378	656	1145	1981	279	556	94.265	0	1	0	0	NS[dependo.2-vespertilionidae(-)]	4280
105	Pipistrellus_pipistrellus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Pipistrellus	27833	Pipistrellus_pipistrellus	low_coverage	PipPip_v1	GCA_004026625.1_PipPip_v1_BIUU_genomic.fna	PVIQ01043641.1	-	4900	8313	dependo.2-vespertilionidae-con	2	289	625	13	1011	363	390	61.157	8.54	119	7	0	NS[dependo.2-vespertilionidae(-)]	3414
225	Oryctolagus_cuniculus	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus	27429	Oryctolagus_cuniculus	complete	goldenpath_oryCun2	oryCun2.fa	chr10	-	8292094	8295947	dependo.3-lagomorpha	3	25	488	436	1848	481	697	77.131	0	1	7	0	VP[REF_Dependo_AAV5(-)]-NS[dependo.3-lagomorpha(-)]	3854
250	Lepus_timidus	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus	27886	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019678.1	-	6041389	6044512	dependo.3-lagomorpha	3	25	699	463	2505	710	1023	79.859	0	1	10	0	NS[dependo.3-lagomorpha(-)]	3124
65	Ochotona_princeps	Mammalia	Euarchontoglires	Lagomorpha	Ochotonidae	Ochotona	27479	Ochotona_princeps	complete	goldenpath_ochPri3	ochPri3.fa_2.fa	JH802073	+	30948507	30949100	dependo.3-lagomorpha	3	80	282	1	588	214	119	42.523	3.37	33	5	0	NS[dependo.3-lagomorpha(+)]	594
60	Ceratotherium_simum	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	27318	Ceratotherium_simum	low_coverage	goldenpath_cerSim1	cerSim1.fa	JH767777	+	15364994	15369034	dependo.4-rhinocerotidae-con	4	1004	1207	3056	3673	208	379	87.981	0	1	2	0	NS[dependo.4-rhinocerotidae(+)]-VP[dependo.4-rhinocerotidae(+)]	4041
40	Ceratotherium_simum_cottoni	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	27818	Ceratotherium_simum_cottoni	low_coverage	CerCot_v1_BIUU	GCA_004027795.1_CerCot_v1_BIUU_genomic.fna	PVLE01002629.1	-	43677	47717	dependo.4-rhinocerotidae-con	4	1004	1207	3056	3673	208	379	87.981	0	1	2	0	VP[dependo.4-rhinocerotidae(-)]-NS[dependo.4-rhinocerotidae(-)]	4041
77	Diceros_bicornis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Diceros	27862	Diceros_bicornis	low_coverage	DicBicMic_v1_BIUU	GCA_004027315.1_DicBicMic_v1_BIUU_genomic.fna	PVJY010006244.1	-	98986	102929	dependo.4-rhinocerotidae-con	4	1004	1331	2958	3944	329	667	96.657	0	1	1	0	VP[dependo.4-rhinocerotidae(-)]-NS[dependo.4-rhinocerotidae(-)]	3944
75	Dicerorhinus_sumatrensis_sumatrensis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Dicerorhinus	27435	Dicerorhinus_sumatrensis_sumatrensis	low_coverage	ASM284483v1	GCA_002844835.1_ASM284483v1_genomic.fna	PEKH010002164.1	+	1427337	1431241	dependo.4-rhinocerotidae-con	4	780	1331	2244	3905	562	902	82.028	0	1	7	0	NS[dependo.4-rhinocerotidae(+)]-VP[dependo.4-rhinocerotidae(+)]	3905
81	Loxodonta_africana	Mammalia	Afrotheria	Proboscidea	Elephantidae	Loxodonta	28054	Loxodonta_africana	complete	goldenpath_loxAfr3	loxAfr3.fa	scaffold_4	+	61369363	61371114	dependo.6-elephantidae-con	6	1	584	1	1752	584	1207	98.459	0	1	0	0	NS[dependo.6-elephantidae(+)]	1752
227	Mustela_erminea	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Mustela	27472	Mustela_erminea	low_coverage	mMusErm1	GCA_009829165.1_mMusErm1.alt_genomic.fna	WNLZ01003145.1	-	69181	70593	dependo.6-elephantidae-con	6	3	465	10	1371	467	219	27.195	5.78	67	6	0	NS[dependo.500-eHV.mustela(-)]	1413
9	Hydrochoerus_hydrochaeris	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	27510	Hydrochoerus_hydrochaeris	low_coverage	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01000095.1	-	553268	554515	dependo.6-elephantidae-con	6	244	389	661	1248	202	58.2	27.228	1.58	21	4	0	NS[dependo.45-heterocephalus(-)]	1248
124	Pedetes_capensis	Mammalia	Euarchontoglires	Rodentia	Pedetidae	Pedetes	27954	Pedetes_capensis	low_coverage	PedCap_v1_BIUU	GCA_007922755.1_PedCap_v1_BIUU_genomic.fna	VMDO01000768.1	+	227616	228605	dependo.6-elephantidae-con	6	74	418	10	990	354	197	38.418	4.54	60	10	0	Rep78[dependo.XX-Pedetes_capensis(+)]	990
132	Bradypus_variegatus	Mammalia	Xenarthra	Pilosa	Bradypodidae	Bradypus	27272	Bradypus_variegatus	low_coverage	BraVar_v1_BIUU	GCA_004027775.1_BraVar_v1_BIUU_genomic.fna	PVKY010006380.1	+	5435	6391	dependo.7-bradypus	7	1	178	361	897	179	365	99.441	3.68	131	1	0	NS[dependo.7-bradypus(+)]	957
32	Dasypus_novemcinctus	Mammalia	Xenarthra	Cingulata	Dasypodidae	Dasypus	27710	Dasypus_novemcinctus	complete	goldenpath_dasNov3	dasNov3.fa	JH575770	-	698573	699295	dependo.8-dasypus	8	1	191	28	600	191	398	99.476	9.22	145	0	0	VP[dependo.8-dasypus(-)]	723
127	Heterohyrax_brucei	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Heterohyrax	27347	Heterohyrax_brucei	low_coverage	HetBruBak_v1_BIUU	GCA_004026845.1_HetBruBak_v1_BIUU_genomic.fna	PVJQ01008376.1	+	40240	42031	dependo.9-procavia	9	1	243	43	777	245	433	93.878	1.06	152	1	0	NS[dependo.9-procavia(+)]	1792
111	Procavia_capensis	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Procavia	27810	Procavia_capensis	low_coverage	goldenpath_proCap1	proCap1.fa	scaffold_19252	-	22396	23364	dependo.9-procavia	9	1	243	43	777	245	460	99.184	1.34	167	1	0	NS[dependo.9-procavia(-)]	969
54	Orycteropus_afer	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	27948	Orycteropus_afer	low_coverage	broad_v0_2012	O_afer_v0.assembly.fa	scaffold00268	+	4835582	4838424	dependo.12-orycteropus	12	1	592	1	1794	630	699	67.937	0	1	13	0	Rep78-VP[dependo.XX-Orycteropus(+)]	2843
212	Theropithecus_gelada	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Theropithecus	27950	Theropithecus_gelada	low_coverage	Tgel_1.0	GCF_003255815.1_Tgel_1.0_genomic.fna	NC_037670.1	+	30672747	30675126	dependo.13-cercopithecidae-con	13	1	599	1	1797	599	1230	97.663	0	1	0	0	NS[dependo.13-cercopithecidae(+)]	2380
57	Papio_anubis	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Papio	27385	Papio_anubis	low_coverage	goldenpath_papAnu2	papAnu2.fa_3.fa	chr3	+	14387629	14390008	dependo.13-cercopithecidae-con	13	1	615	1	1845	615	1244	97.886	0	1	0	0	NS[dependo.13-cercopithecidae(+)]	2380
58	Cercocebus_atys	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	28046	Cercocebus_atys	low_coverage	ncbi_100_2015	9531_ref_Caty_1.0_chrUn.fa	gi|778128673|ref|NW_012004166.1|	-	1691316	1693695	dependo.13-cercopithecidae-con	13	1	615	1	1845	615	1255	97.236	0	1	0	0	NS[dependo.13-cercopithecidae(-)]	2380
57	Papio_anubis	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Papio	27560	Papio_anubis	low_coverage	goldenpath_papAnu2	papAnu2.fa_1.fa	chr11	-	48228901	48230286	dependo.14-cercopithecidae-con	14	1	453	1	1359	453	890	94.481	0	1	0	0	NS[dependo.14-cercopithecidae(-)]	1386
58	Cercocebus_atys	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	27896	Cercocebus_atys	low_coverage	ncbi_100_2015	9531_ref_Caty_1.0_chrUn.fa	gi|778117074|ref|NW_012006154.1|	+	2894065	2895450	dependo.14-cercopithecidae-con	14	1	453	1	1359	453	914	96.689	0	1	0	0	NS[dependo.14-cercopithecidae(+)]	1386
200	Mandrillus_leucophaeus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	28024	Mandrillus_leucophaeus	low_coverage	Mleu.le_1.0	9568_ref_Mleu.le_1.0_chrUn.fa	gi|786094026|ref|NW_012100098.1|	+	1005873	1007258	dependo.14-cercopithecidae-con	14	1	453	1	1359	453	926	97.792	0	1	0	0	NS[dependo.14-cercopithecidae(+)]	1386
151	Mandrillus_sphinx	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	27893	Mandrillus_sphinx	low_coverage	BGI_mandrill_1.0	GCA_004802615.1_BGI_mandrill_1.0_genomic.fna	SRPC01038205.1	-	29298	30683	dependo.14-cercopithecidae-con	14	1	453	1	1359	453	929	98.013	0	1	0	0	NS[dependo.14-cercopithecidae(-)]	1386
173	Erythrocebus_patas	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Erythrocebus	28045	Erythrocebus_patas	low_coverage	EryPat_v1	GCA_004027335.1_EryPat_v1_BIUU_genomic.fna	PVJV010078729.1	-	3740	4492	dependo.14-cercopithecidae-con	14	1	251	1	753	251	450	85.657	2.01	161	0	0	NS[dependo.160-Erythrocebus_patas(-)]	753
27	Ctenomys_sociabilis	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys	27901	Ctenomys_sociabilis	low_coverage	CteSoc_v1	GCA_004027205.1_CteGun_v1_BIUU_genomic.fna	PVKB01000462.1	-	154376	154930	dependo.14-cercopithecidae-con	14	218	431	1	546	214	93.2	33.645	2.52	24	5	0	NK[dependo.XX-Ctenomys_sociabilis(-)]	555
142	Rattus_norvegicus	Mammalia	Euarchontoglires	Rodentia	Muridae	Rattus	27626	Rattus_norvegicus	complete	goldenpath_rn6	rn6.fa_2.fa	chr13	+	111538960	111539493	dependo.14-cercopithecidae-con	14	143	175	436	534	33	47.8	57.576	1.01	20	0	0	NK[dependo.XX-Grammomys(+)]	534
263	Cervus_elaphus_hippelaphus	Mammalia	Laurasiatheria	Unclassified	Cervidae	Cervus	27755	Cervus_elaphus_hippelaphus	low_coverage	Celaphus1.0	GCA_002197005.1_Celaphus1.0_genomic.fna	CM008041.1	-	61072656	61073381	dependo.22-laurasiatheria-con	22	1	205	100	696	209	199	56.459	2.35	66	7	0	NS[dependo.22-laurasiatheria(-)]	726
77	Diceros_bicornis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Diceros	27960	Diceros_bicornis	low_coverage	DicBicMic_v1_BIUU	GCA_004027315.1_DicBicMic_v1_BIUU_genomic.fna	PVJY010002153.1	-	50633	51349	dependo.22-laurasiatheria-con	22	1	206	64	687	213	199	56.338	1.53	66	4	0	NS[dependo.22-laurasiatheria(-)]	717
262	Hipposideros_galeritus	Mammalia	Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros	27612	Hipposideros_galeritus	low_coverage	HipGal_v1	GCA_004027415.1_HipGal_v1_BIUU_genomic.fna	PVLB01002856.1	+	80953	81621	dependo.22-laurasiatheria-con	22	10	206	1	600	200	184	54.5	1.01	60	2	0	NS[dependo.36-vespertilionidae(+)]	669
207	Redunca_redunca	Mammalia	Laurasiatheria	Unclassified	Bovidae	Redunca	27357	Redunca_redunca	low_coverage	BHR	GCA_006410935.1_BHR_genomic.fna	SJYQ01012414.1	+	8869	9525	dependo.22-laurasiatheria-con	22	81	201	1	351	121	137	66.116	2.03	42	3	0	NS[dependo.22-laurasiatheria(+)]	657
133	Eptesicus_fuscus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus	27909	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_19.fa	gi|411115864|gb|JH977699.1|	+	1476841	1477491	dependo.22-laurasiatheria-con	22	1	204	4	585	208	189	56.25	1.25	62	7	0	NS[dependo.36-vespertilionidae(+)]	651
170	Kobus_ellipsiprymnus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Kobus	27834	Kobus_ellipsiprymnus	low_coverage	DFW-scaff	GCA_006410655.1_DFW_genomic.fna	SJYR01003115.1	-	140474	141103	dependo.22-laurasiatheria-con	22	80	201	1	354	122	152	68.033	2.89	48	3	0	NS[dependo.22-laurasiatheria(-)]	630
92	Rhinolophus_ferrumequinum	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus	27717	Rhinolophus_ferrumequinum	low_coverage	ncbi_AWHA00000000.1_2015-05	AWHA01.2.fsa_nt.fa	gi|539521749|gb|AWHA01101022.1|	+	15930	16448	dependo.22-laurasiatheria-con	22	58	201	1	441	147	156	58.503	2.22	50	1	0	NS[dependo.36-vespertilionidae(+)]	519
140	Mormoops_blainvillei	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Mormoops	27408	Mormoops_blainvillei	low_coverage	MorMeg_v1	GCA_004026545.1_MorMeg_v1_BIUU_genomic.fna	PVJD01010147.1	-	33464	33967	dependo.22-laurasiatheria-con	22	88	206	1	363	131	103	50.382	7.21	30	3	0	NS[dependo.36-vespertilionidae(-)]	504
