sequenceID	locus_name	locus_numeric_id	stem	host_species	host_class	host_superorder	host_order	host_family	host_genus	record_id	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	sequence_length
proto.108-Dinomys_branickii	proto.108-Dinomys	108	proto.108	Dinomys_branickii	Mammalia	Euarchontoglires	Rodentia	Dinomyidae	Dinomys	31829	low_coverage	DinBra_v1	GCA_004027595.1_DinBra_v1_BIUU_genomic.fna	PVLD010013231.1	+	21112	25267	1	1107	268	3573	1115	1737	78.655	0	1	7	0	4156
proto.108-Capromys_pilorides	proto.108-Dinomys	108	proto.108	Capromys_pilorides	Mammalia	Euarchontoglires	Rodentia	Capromyidae	Capromys	31785	low_coverage	CapPil_v1_BIUU	GCA_004027915.1_CapPil_v1_BIUU_genomic.fna	PVKN010461124.1	-	1105	1326	403	476	1	222	74	125	77.027	1.85	37	0	0	222
proto.108-Capromys_pilorides	proto.108-Dinomys	108	proto.108	Capromys_pilorides	Mammalia	Euarchontoglires	Rodentia	Capromyidae	Capromys	31917	low_coverage	CapPil_v1_BIUU	GCA_004027915.1_CapPil_v1_BIUU_genomic.fna	PVKN010160386.1	+	1	1450	1146	1266	1082	1444	121	185	70.248	3.6	143	0	0	1450
proto.120-Cavia_aperea	proto.120-Cavia	120	proto.120	Cavia_aperea	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	31275	low_coverage	CavAp1.0	GCA_000688575.1_CavAp1.0_genomic.fna	AVPZ01000098.1	+	79610	80013	60	121	1	186	62	121	93.548	3.24	53	0	0	404
proto.120-Cavia_porcellus	proto.120-Cavia	120	proto.120	Cavia_porcellus	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	31715	low_coverage	goldenpath_cavPor3	cavPor3.fa	scaffold_188	+	79733	80139	60	121	4	189	62	129	100	2.1	58	0	0	407
proto.120-Cavia_tschudii	proto.120-Cavia	120	proto.120	Cavia_tschudii	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	31949	low_coverage	CavTsc_v1_BIUU	GCA_004027695.1_CavTsc_v1_BIUU_genomic.fna	PVKK010010067.1	-	14783	15189	60	121	4	189	62	129	100	2.1	58	0	0	407
proto.121-Cuniculus_paca	proto.121-Cavia	121	proto.121	Cuniculus_paca	Mammalia	Euarchontoglires	Rodentia	Cuniculidae	Cuniculus	31388	low_coverage	CunPac_v1_BIUU	GCA_004365215.1_CunPac_v1_BIUU_genomic.fna	RJWT011698238.1	+	3	311	230	332	1	309	103	197	93.204	3.75	62	0	0	309
proto.121-Cuniculus_paca	proto.121-Cavia	121	proto.121	Cuniculus_paca	Mammalia	Euarchontoglires	Rodentia	Cuniculidae	Cuniculus	31711	low_coverage	CunPac_v1_BIUU	GCA_004365215.1_CunPac_v1_BIUU_genomic.fna	RJWT011019164.1	+	4	426	197	332	16	423	136	253	87.5	1.51	81	0	0	423
proto.121-Hydrochoerus_hydrochaeris	proto.121-Cavia	121	proto.121	Hydrochoerus_hydrochaeris	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	31720	low_coverage	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01023156.1	-	3662	4390	127	365	1	717	244	343	70.492	5.53	113	3	0	729
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31258	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011527384.1	+	6	185	393	451	4	180	59	112	84.746	5.83	33	0	0	180
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31306	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011016982.1	-	3	272	253	342	1	270	90	177	93.333	3.98	55	0	0	270
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31328	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010931017.1	-	3	164	394	447	1	162	54	102	83.333	2.34	29	0	0	162
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31363	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010915332.1	+	109	282	127	183	1	174	58	97.4	84.483	8.81	28	1	0	174
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31373	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011902821.1	+	11	199	196	251	22	189	56	115	94.643	4.04	34	0	0	189
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31380	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010730549.1	+	3	365	197	317	1	363	121	241	94.215	2.85	77	0	0	363
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31417	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011673497.1	+	2	205	285	352	1	204	68	136	95.588	3.21	41	0	0	204
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31419	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010642575.1	-	2	277	551	642	1	276	92	171	83.696	6.79	53	0	0	276
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31421	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010054228.1	+	4492	4668	603	660	1	174	58	105	81.034	2.39	30	0	0	177
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31428	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011902850.1	+	3	200	253	318	1	198	66	132	92.424	6.39	40	0	0	198
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31434	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010444097.1	+	297	554	551	635	1	255	85	156	82.353	5.05	48	0	0	258
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31453	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010263113.1	+	187	1042	198	388	257	829	191	365	91.099	3.57	130	0	0	856
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31456	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011391545.1	-	28	198	395	451	1	171	57	107	84.211	2.1	31	0	0	171
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31459	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010791764.1	-	1	327	126	232	1	327	112	183	83.929	4.65	57	3	0	327
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31462	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011510714.1	+	30	209	393	451	4	180	59	112	84.746	5.83	33	0	0	180
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31480	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011056861.1	+	77	265	196	251	22	189	56	115	94.643	4.04	34	0	0	189
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31532	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011484007.1	-	5	214	287	356	1	210	70	139	95.714	2.88	42	0	0	210
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31563	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011496753.1	-	1	213	280	350	1	213	71	142	95.775	3.76	43	0	0	213
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31601	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010627415.1	+	3	398	197	326	7	396	130	260	94.615	4.42	84	0	0	396
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31623	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011625152.1	+	1	207	176	243	1	207	72	125	87.5	2.97	37	2	0	207
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31638	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011673480.1	+	3	203	197	261	7	201	65	137	96.923	1.16	41	0	0	201
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31645	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011494905.1	+	79	213	603	647	1	135	45	94	88.889	9.64	27	0	0	135
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31670	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011582413.1	+	16	195	393	451	4	180	59	112	84.746	5.83	33	0	0	180
proto.121-Myocastor_coypus	proto.121-Cavia	121	proto.121	Myocastor_coypus	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	31286	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010073357.1	-	645	1274	197	382	13	630	211	144	42.654	1.59	41	3	0	630
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31764	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011117400.1	-	1	255	261	345	1	255	85	169	94.118	1.18	52	0	0	255
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31788	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011809605.1	+	4	201	280	345	1	198	66	132	96.97	7.32	40	0	0	198
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31799	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010874413.1	-	5	175	395	451	1	171	57	107	84.211	2.1	31	0	0	171
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31810	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010627389.1	+	11	397	197	317	25	387	121	239	93.388	9.88	77	0	0	387
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31814	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011701243.1	+	3	203	278	344	1	201	67	130	95.522	4.06	39	0	0	201
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31819	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010458247.1	-	2	535	170	344	7	534	179	323	88.827	8.96	107	2	0	534
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31837	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011902849.1	+	14	187	127	183	1	174	58	97.4	84.483	8.81	28	1	0	174
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31886	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011423945.1	+	10	219	197	258	25	210	62	130	96.774	2.82	39	0	0	210
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31922	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010627416.1	+	10	399	197	318	25	390	122	241	93.443	3.05	77	0	0	390
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31935	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011188378.1	+	2	244	179	258	1	243	84	149	89.286	1.68	45	2	0	243
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31938	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011731957.1	+	1	201	197	259	13	201	63	132	96.825	7.01	40	0	0	201
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31942	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010502343.1	-	2	208	197	258	22	207	62	130	96.774	3.12	39	0	0	207
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31975	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011367477.1	-	6	215	126	197	1	210	73	114	82.192	1.53	33	2	0	210
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31978	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011243051.1	-	9	236	555	630	1	228	76	142	84.211	4.14	43	0	0	228
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31986	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010526040.1	-	2	292	551	647	1	291	97	171	81.443	6.37	53	0	0	291
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	32020	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011902871.1	+	2	199	197	258	13	198	62	130	96.774	3.27	39	0	0	198
proto.121-Dolichotis_patagonum	proto.121-Cavia	121	proto.121	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	32037	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010685627.1	+	3	392	197	326	1	390	130	260	94.615	4.03	84	0	0	390
proto.121-Myocastor_coypus	proto.121-Cavia	121	proto.121	Myocastor_coypus	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	31820	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010099320.1	+	470	1162	610	842	1	693	237	246	56.118	1.75	77	6	0	693
proto.122-Dolichotis_patagonum	proto.122-Cavia	122	proto.122	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31247	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010554737.1	-	1	342	272	385	1	342	114	196	80.702	2.81	61	0	0	342
proto.122-Dolichotis_patagonum	proto.122-Cavia	122	proto.122	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31550	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011387352.1	+	16	216	672	737	4	201	66	124	84.848	5.24	37	0	0	201
proto.122-Dolichotis_patagonum	proto.122-Cavia	122	proto.122	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31570	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010828597.1	-	26	316	672	767	4	291	96	170	81.25	1.15	52	0	0	291
proto.122-Dolichotis_patagonum	proto.122-Cavia	122	proto.122	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31632	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011249897.1	+	6	236	273	349	1	231	77	126	76.623	1.57	37	0	0	231
proto.122-Dolichotis_patagonum	proto.122-Cavia	122	proto.122	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31716	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011387356.1	+	25	216	674	737	1	192	64	120	84.375	1.45	35	0	0	192
proto.122-Cavia_tschudii	proto.122-Cavia	122	proto.122	Cavia_tschudii	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	31588	low_coverage	CavTsc_v1_BIUU	GCA_004027695.1_CavTsc_v1_BIUU_genomic.fna	PVKK010018226.1	-	35620	37606	673	935	1	798	271	381	83.026	0	1	5	0	1987
proto.122-Cavia_porcellus	proto.122-Cavia	122	proto.122	Cavia_porcellus	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	31506	low_coverage	goldenpath_cavPor3	cavPor3.fa	scaffold_27	+	12841261	12843246	673	850	1	540	183	283	91.257	0	1	3	0	1986
proto.122-Dolichotis_patagonum	proto.122-Cavia	122	proto.122	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31745	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010499844.1	-	121	456	672	781	4	336	111	198	83.784	5.12	62	1	0	336
proto.122-Dolichotis_patagonum	proto.122-Cavia	122	proto.122	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31822	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010786114.1	+	5	337	272	382	1	333	111	190	79.279	2.63	59	0	0	333
proto.122-Dolichotis_patagonum	proto.122-Cavia	122	proto.122	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31895	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010296545.1	+	87	761	1	213	28	675	218	340	79.358	7.45	111	2	0	675
