sequenceID	locus_numeric_id	source_name	seq_type	num_seqs	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	intact orf(s)?	expressed?	nearest_upstream_orf	nearest_downstream_orf	human_chr	minimum_age_ortho	host_group_taxlevel	host_group_name	pubmed_id	insertion_name	insertion_full_name	virus_genus
dependo.23-camelidae-con	23	fasta-refseqs-epv			NULL	NULL	Dependo4	Dependo4	no	nk	PNRC2 	RIDA	NK	11.7	family	Camelidae	26037535	dependo.23-camelidae-con	epv-dependo.23-camelidae-con	Dependoparvovirus
dependo.26-lemuridae-con	26	fasta-refseqs-epv			NULL	NULL	Dependo4	Dependo4	no	nk	ENSPSMG00000005325	ACAD8	NK	55	family	Lemuridae	15085543	dependo.26-lemuridae	epv-dependo.26-lemuridae	Dependoparvovirus
dependo.27-eulemur-con	27	fasta-refseqs-epv			Dependo3	Prosimian	NULL	NULL	no	nk	NK	NK	NK		genus	Eulemur		dependo.27-eulemur	epv-dependo.27-eulemur	Dependoparvovirus
dependo.28-daubentonia-con	28	fasta-refseqs-epv			Dependo2	Lemuria	Dependo4	Dependo4	no	nk	NK	NK	NK		genus	Daubentonia		dependo.28-daubentonia	epv-dependo.28-daubentonia	Dependoparvovirus
dependo.31-chiroptera-con	31	fasta-refseqs-epv			NK	NK	Dependo4	Dependo4	no	nk	NK	NK	NK		order	Chiroptera		dependo.31-chiroptera-con	dependo.31-chiroptera-con	Dependoparvovirus
dependo.32-chiroptera-con	32	fasta-refseqs-epv			Dependo2	Lemuria	Dependo4	Dependo4	no	nk	NK	NK	NK		order	Chiroptera		dependo.32-chiroptera-con	dependo.32-chiroptera-con	Dependoparvovirus
dependo.33-pteropodidae-con	33	fasta-refseqs-epv			Dependo2	Lemuria	NK	NK	no	nk	NK	NK	NK		family	Pteropodidae		dependo.33-pteropodidae-con	dependo.33-pteropodidae	Dependoparvovirus
dependo.35-vespertilionidae-con	35	fasta-refseqs-epv			Dependo3	Mammals	Dependo3	Mammals	no	nk	NK	NK	NK		family	Vespertilionidae		dependo.35-vespertilionidae	dependo.35-vespertilionidae-con	Dependoparvovirus
dependo.36-vespertilionidae-con	36	fasta-refseqs-epv			Dependo1	Sauria	NULL	NULL	no	nk	NK	NK	NK		family	Vespertilionidae		dependo.36-vespertilionidae	dependo.36-vespertilionidae-con	Dependoparvovirus
dependo.39-phyllostomidae-con	39	fasta-refseqs-epv			Dependo2	Lemuria	NK	NK	no	nk	NK	NK	NK		family	Phyllostomidae		dependo.38-phyllostomidae	epv-dependo.39-phyllostomidae	Dependoparvovirus
dependo.40-phyllostomidae-con	40	fasta-refseqs-epv			Dependo2	Lemuria	NK	NK	no	nk	NK	NK	NK		family	Phyllostomidae		dependo.40-phyllostomidae	epv-dependo.40-phyllostomidae	Dependoparvovirus
dependo.42-chinchilla	43	fasta-refseqs-epv			Dependo3	Glires	NULL	NULL	Rep	nk	NK	NK	NK		genus	Octodon		dependo.42-octodon	epv-dependo.42-octodon	Dependoparvovirus
dependo.43-octodon	43	fasta-refseqs-epv			Dependo3	Glires	NULL	NULL	Rep	Yes	NK	NK	NK		genus	Chinchilla		dependo.43-chinchilla	epv-dependo.43-chinchilla	Dependoparvovirus
dependo.44-bathyergidae-con	44	fasta-refseqs-epv			NK	NK	NULL	NULL	no	nk	RPS12 	EYA4	NK	34	family	Bathyergidae		dependo.44-bathyergidae	epv-dependo.44-bathyergidae	Dependoparvovirus
dependo.45-rodent-con	45	fasta-refseqs-epv			Dependo3	Glires	NULL	NULL	no	nk	RPS12/SLC18B1	EYA4	NK		order	Rodents		dependo.45-rodent	epv-dependo.45-rodent	Dependoparvovirus
dependo.46-gliridae-con	46	fasta-refseqs-epv			Dependo3	Mammals	Dependo3	Mammals	no	nk	?	?	NK		family	Gliridae		dependo.46-glires	epv-dependo.46-glires	Dependoparvovirus
dependo.48-rodent-con	46	fasta-refseqs-epv			Dependo3	Mammals	NK	NK	no	nk	?	?	NK		order	Rodents		dependo.48-glires	epv-dependo.48-glires	Dependoparvovirus
dependo.51-muridae-con	51	fasta-refseqs-epv			NULL	NULL	NK	NK	no	nk	Snx16	Raly1	NK		genus	Mus		dependo.51-muridae	epv-dependo.51-muridae	Dependoparvovirus
dependo.53-cavidae-con	53	fasta-refseqs-epv			Dependo3	Glires	NULL	NULL	no	nk	NK	NK	NK		family	Cavidae		dependo.53-cavidae	epv-dependo.53-cavidae	Dependoparvovirus
dependo.54-cavidae-con	54	fasta-refseqs-epv			Dependo3	Glires	NK	NK	no	nk	RBFOX2	Myo9-copy	NK		family	Cavidae		dependo.53-cavidae	epv-dependo.53-cavidae	Dependoparvovirus
dependo.56-cavidae-con	56	fasta-refseqs-epv			Dependo3	Glires	NULL	NULL	no	nk	TRAT1	MORC1	NK		family	Cavidae		dependo.53-cavidae	epv-dependo.53-cavidae	Dependoparvovirus
dependo.57-ornithorhynchus	57	fasta-refseqs-epv			Dependo2	Lemuria	NULL	NULL	no	nk	NK	NK	NK		species	Ornithorhynchus		dependo.57-ornithorhynchus	epv-dependo.57-ornithorhynchus	Dependoparvovirus
dependo.58-ornithorhynchus	58	fasta-refseqs-epv			Dependo1	Sauria	NULL	NULL	no	nk	NK	NK	NK		species	Ornithorhynchus		dependo.58-ornithorhynchus	epv-dependo.58-ornithorhynchus	Dependoparvovirus
dependo.59-ornithorhynchus	59	fasta-refseqs-epv			Dependo2	Lemuria	NULL	NULL	no	nk	TBC1D32	ENSOANG00000014187	NK		species	Ornithorhynchus		dependo.59-ornithorhynchus	epv-dependo.59-ornithorhynchus	Dependoparvovirus
dependo.60-sarcophilus	60	fasta-refseqs-epv			NK	NK	NULL	NULL	no	nk	ENSSHAG00000008910	ts	NK		species	Diprotodontia		dependo.60-sarcophilus	epv-dependo.60-sarcophilus	Dependoparvovirus
dependo.61-sarcophilus	61	fasta-refseqs-epv			NK	NK	NULL	NULL	no	nk	ENSSHAG00000016096 (myoneurin)	ENSSHAG00000017014	NK		order	Diprotodontia		dependo.61-sarcophilus	epv-dependo.61-sarcophilus	Dependoparvovirus
dependo.62-sarcophilus	62	fasta-refseqs-epv			NK	NK	NULL	NULL	no	nk	ts	IGSF11	NK		order	Diprotodontia		dependo.62-sarcophilus	epv-dependo.62-sarcophilus	Dependoparvovirus
dependo.65-passeriformes-con	65	fasta-refseqs-epv			Dependo2	NK	NULL	NULL	no	nk	NK	NK	NK		order	Passeriformes		dependo.65-passeriformes	epv-dependo.65-passeriformes	Dependoparvovirus
dependo.66-passeriformes-con	66	fasta-refseqs-epv			Dependo2	NK	NULL	NULL	no	nk	NK	NK	NK		order	Passeriformes		dependo.66-passeriformes	epv-dependo.66-passeriformes	Dependoparvovirus
dependo.500-eHV.carlito	500	fasta-refseqs-epv			Herpesvirus	Betaherpes	NULL	NULL	no	nk	NK	NK	NK		genus	Betaherpes		dependo.500-eHV.carlito	epv-dependo.500-eHV.carlito	Dependoparvovirus
