taxon	sequenceID	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.14-cercopithecidae-con	dependo.14-cercopithecidae-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.15-colobus	dependo.15-colobus	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.2-vespertilionidae-con	dependo.2-vespertilionidae-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.20-laurasiatheria-con	dependo.20-laurasiatheria-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.22-laurasiatheria-con	dependo.22-laurasiatheria-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.27-eulemur-con	dependo.27-eulemur-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.3-lagomorpha-con	dependo.3-lagomorpha-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.4-rhinocerotidae-con	dependo.4-rhinocerotidae-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.40-phyllostomidae-con	dependo.40-phyllostomidae-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.42-chinchilla	dependo.42-chinchilla	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.43-octodon	dependo.43-octodon	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.45-rodent-con	dependo.45-rodent-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.46-gliridae-con	dependo.46-gliridae-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.48-rodent-con	dependo.48-rodent-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.53-cavidae-con	dependo.53-cavidae-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.54-cavidae-con	dependo.54-cavidae-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.56-cavidae-con	dependo.56-cavidae-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.58-ornithorhynchus	dependo.58-ornithorhynchus	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.6-elephantidae-con	dependo.6-elephantidae-con	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.7-bradypus	dependo.7-bradypus	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/dependo.9-procavia	dependo.9-procavia	-	-	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs/ErthryoPV-Giraffe-1	ErthryoPV-Giraffe-1	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Giraffa tippelskirchi	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/erythro.1-indri	erythro.1-indri	-	Erythroparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/erythro.2-dolichotis	erythro.2-dolichotis	-	Erythroparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/EU200669	EU200669	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Bos taurus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/EU200677	EU200677	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Sus scrofa	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/FJ688147	FJ688147	Parvovirinae	Dependoparvovirus	-	-	-	-	-	Sus scrofa	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/GQ200736	GQ200736	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Tamias sibiricus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/GU938300	GU938300	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Sus scrofa	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/HQ113143	HQ113143	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Pan troglodytes	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/JF504699	JF504699	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Ovis aries	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/JN202450	JN202450	Parvovirinae	Amdoparvovirus	-	-	-	-	-	Urocyon cinereoargenteus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/JX505432	JX505432	Parvovirinae	Protoparvovirus	-	-	-	-	-	Homo sapiens (cell line)	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/KJ641666	KJ641666	Parvovirinae	Protoparvovirus	-	-	-	-	-	Hipposideros pomona	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/MF416383	MF416383	Parvovirinae	Dependoparvovirus	-	-	-	-	-	Mus musculus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/MG745669	MG745669	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Bolomys lasiurus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/MG745671	MG745671	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Didelphis albiventris	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/MG972981	MG972981	Parvovirinae	Copiparvovirus	-	-	-	-	-	Bos taurus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_000883	NC_000883	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Homo sapiens	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_001401	NC_001401	Parvovirinae	Dependoparvovirus	-	-	-	-	-	Homo sapiens	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_001510	NC_001510	Parvovirinae	Protoparvovirus	-	-	-	-	-	Mus musculus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_001539	NC_001539	Parvovirinae	Protoparvovirus	-	-	-	-	-	Canis familiaris	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_001662	NC_001662	Parvovirinae	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_006147	NC_006147	Parvovirinae	Dependoparvovirus	-	-	-	-	-	Cairina moschata	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_006148	NC_006148	Parvovirinae	Dependoparvovirus	-	-	-	-	-	Python regius	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_006152	NC_006152	Parvovirinae	Dependoparvovirus	-	-	-	-	-	Homo sapiens	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_006259	NC_006259	Parvovirinae	Copiparvovirus	-	-	-	-	-	Bos taurus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_014468	NC_014468	Parvovirinae	Dependoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_016744	NC_016744	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Eidolon helvum	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_024452	NC_024452	Parvovirinae	Aveparvovirus	-	-	-	-	-	Gallus gallus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_027429	NC_027429	Parvovirinae	Dependoparvovirus	-	-	-	-	-	Homo sapiens	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_031670	NC_031670	Parvovirinae	Tetraparvovirus	-	-	-	-	-	Odocoileus hemionus	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_034445	NC_034445	Parvovirinae	Amdoparvovirus	-	-	-	-	-	Mephitis mephitis	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/NC_038539	NC_038539	Parvovirinae	Dependoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/proto.1-rattus-con	proto.1-rattus-con	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/proto.13-monodelphis	proto.13-monodelphis	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/proto.14-tamandua	proto.14-tamandua	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/proto.2-apodemus	proto.2-apodemus	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/fasta-refseqs-epv/proto.3-mus_spretus	proto.3-mus_spretus	-	Protoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/U26342	U26342	Parvovirinae	Erythroparvovirus	-	-	-	-	-	Macaca fascicularis	-	-
alignment/AL_EVE_TREE_Parvovirinae/member/ncbi-refseqs/U34255	U34255	Parvovirinae	Protoparvovirus	-	-	-	-	-	Cricetelus griseus	-	-
