accession-ID	virus_subfamily	virus_genus	clade	length	virus_name	virus_full_name	host_species	host_common_name	virus_clade
AY530594	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530595	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530596	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530597	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530598	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530599	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530600	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530601	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530602	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530603	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530604	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530605	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530606	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530607	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530608	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530609	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530610	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530611	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530612	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530613	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530614	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530615	Parvovirinae	Dependoparvovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530616	Parvovirinae	Dependoparvovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530617	Parvovirinae	Dependoparvovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530618	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530619	Parvovirinae	Dependoparvovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530620	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530621	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530622	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530623	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530624	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530625	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530626	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530627	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530628	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY530629	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY695370	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY695376	Parvovirinae	Dependoparvovirus	-	4430	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY695377	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
AY695378	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
DJ334182	Parvovirinae	Dependoparvovirus	-	2181	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
DJ352920	Parvovirinae	Dependoparvovirus	-	2225	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368909	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368910	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368911	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368912	Parvovirinae	Dependoparvovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368913	Parvovirinae	Dependoparvovirus	-	2184	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368914	Parvovirinae	Dependoparvovirus	-	2184	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368915	Parvovirinae	Dependoparvovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368916	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368917	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368918	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368919	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368920	Parvovirinae	Dependoparvovirus	-	2187	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368921	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368922	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368923	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368924	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368925	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
EU368926	Parvovirinae	Dependoparvovirus	-	2199	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
HV591550	Parvovirinae	Dependoparvovirus	-	2181	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
HW509618	Parvovirinae	Dependoparvovirus	-	2181	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
HZ042746	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
HZ179504	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
HZ179505	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062574	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062575	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062576	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062577	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062578	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062579	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062580	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062581	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062582	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062583	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062584	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062585	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062586	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062587	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062588	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062589	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062590	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062591	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062592	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062593	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062594	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062595	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062596	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062597	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062598	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062599	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062600	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062601	Parvovirinae	Dependoparvovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062602	Parvovirinae	Dependoparvovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062603	Parvovirinae	Dependoparvovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062604	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062605	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062606	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062607	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062608	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062609	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062610	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062611	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062612	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062613	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062614	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062615	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062616	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062617	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062618	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062619	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062620	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062621	Parvovirinae	Dependoparvovirus	-	2209	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062622	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062623	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062624	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062625	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062626	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062627	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062628	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062629	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062630	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062631	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062632	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062633	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062634	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062635	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062636	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062637	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062638	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062639	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062640	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062641	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062642	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062643	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062644	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062645	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062646	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062647	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062648	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062649	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062650	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062651	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062652	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062653	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062654	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062655	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062742	Parvovirinae	Dependoparvovirus	-	3156	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062743	Parvovirinae	Dependoparvovirus	-	3158	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062747	Parvovirinae	Dependoparvovirus	-	3159	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062749	Parvovirinae	Dependoparvovirus	-	3160	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062750	Parvovirinae	Dependoparvovirus	-	3157	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062751	Parvovirinae	Dependoparvovirus	-	3163	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062752	Parvovirinae	Dependoparvovirus	-	3161	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062772	Parvovirinae	Dependoparvovirus	-	2175	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062773	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062774	Parvovirinae	Dependoparvovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062775	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062776	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062777	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062778	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062779	Parvovirinae	Dependoparvovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062780	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062781	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062782	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062783	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062784	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062785	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062786	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062787	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA062788	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231825	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231826	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231827	Parvovirinae	Dependoparvovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231828	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231829	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231830	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231831	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231832	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231833	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231834	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231835	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231836	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231837	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231838	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231839	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231840	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231841	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231842	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231843	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231844	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231845	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231846	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231847	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231848	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231849	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231850	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231851	Parvovirinae	Dependoparvovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231852	Parvovirinae	Dependoparvovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231853	Parvovirinae	Dependoparvovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231854	Parvovirinae	Dependoparvovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231855	Parvovirinae	Dependoparvovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
JA231856	Parvovirinae	Dependoparvovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	AAV
