accession-ID	length	lab_construct	virus_name	virus_full_name	host_species	host_common_name	assign_clade	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	virus_subfamily	virus_genus
AY530574	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530575	2208	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530576	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530577	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530578	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530580	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530581	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530582	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530583	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530584	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530585	2209	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530586	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530587	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530588	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530589	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530590	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530591	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530592	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530593	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530594	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530595	2211	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530598	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530599	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530600	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530601	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530602	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530603	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530604	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530605	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530606	2214	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530607	2211	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530608	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530609	2211	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530610	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530611	2211	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530612	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530613	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530614	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530615	2205	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530616	2205	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530617	2205	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530618	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530619	2205	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530620	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530621	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530622	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530623	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530624	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530625	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530626	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530627	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530628	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY530629	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY695376	4430	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY695377	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
AY695378	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
DJ352920	2225	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368909	2208	FALSE	AAV-6	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368911	2208	FALSE	AAV-6	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368912	2205	FALSE	AAV-NK	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368913	2184	FALSE	AAV-NK	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368914	2184	FALSE	AAV-NK	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368915	2205	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368916	2208	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368917	2208	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368918	2208	FALSE	AAV-1	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368919	2214	FALSE	AAV-NK	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368920	2187	FALSE	AAV-NK	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368921	2214	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368922	2214	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368923	2211	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368924	2214	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
EU368925	2208	FALSE	AAV-9	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
HZ042746	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
HZ179504	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231825	2211	FALSE	AAV-9	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231827	2211	FALSE	AAV-9	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231828	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231829	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231830	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231831	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231832	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231833	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231834	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231835	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231836	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231837	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231838	2217	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231839	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231840	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231841	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231842	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231843	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231844	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231845	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231846	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231847	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231848	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231849	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231850	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231851	2217	FALSE	AAV	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231852	2196	FALSE	AAV-10	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231853	2196	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231854	2196	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231855	2208	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231856	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231857	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231858	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231859	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231860	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231861	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231862	2217	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231863	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231864	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231865	2214	FALSE	AAV-7	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231866	2217	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231867	2211	FALSE	AAV-8	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231868	2211	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231869	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231870	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231871	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231872	2209	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
JA231873	2208	FALSE	AAV-2	Adeno-associated virus	Homo sapiens	Human	Dependo3	Dependo-A	Dependo3	Dependo-A	Dependo3	Dependo-A	Parvovirinae	Dependoparvovirus
