sequenceID	subfamily	genus	clade	length	name	full_name	host_sci_name	host_common_name	virus_subfamily	virus_genus
DJ334182	Parvovirinae	Dependovirus	-	2181	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
DJ352920	Parvovirinae	Dependovirus	-	2225	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368909	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368910	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368911	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368912	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368913	Parvovirinae	Dependovirus	-	2184	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368914	Parvovirinae	Dependovirus	-	2184	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368915	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368916	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368917	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368918	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368919	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368920	Parvovirinae	Dependovirus	-	2187	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368921	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368922	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368923	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368924	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368925	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
EU368926	Parvovirinae	Dependovirus	-	2199	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
HV591550	Parvovirinae	Dependovirus	-	2181	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
HW509618	Parvovirinae	Dependovirus	-	2181	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
HZ042746	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
HZ179504	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
HZ179505	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062574	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062575	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062576	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062577	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062578	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062579	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062580	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062581	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062582	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062583	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062584	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062585	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062586	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062587	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062588	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062589	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062590	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062591	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062592	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062593	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062594	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062595	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062596	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062597	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062598	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062599	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062600	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062601	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062602	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062603	Parvovirinae	Dependovirus	-	2196	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062604	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062605	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062606	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062607	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062608	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062609	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062610	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062611	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062612	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062613	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062614	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062615	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062616	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062617	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062618	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062619	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062620	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062621	Parvovirinae	Dependovirus	-	2209	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062622	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062623	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062624	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062625	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062626	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062627	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062628	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062629	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062630	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062631	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062632	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062633	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062634	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062635	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062636	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062637	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062638	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062639	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062640	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062641	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062642	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062643	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062644	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062645	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062646	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062647	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062648	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062649	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062650	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062651	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062652	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062653	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062654	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062655	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062742	Parvovirinae	Dependovirus	-	3156	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062743	Parvovirinae	Dependovirus	-	3158	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062747	Parvovirinae	Dependovirus	-	3159	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062749	Parvovirinae	Dependovirus	-	3160	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062750	Parvovirinae	Dependovirus	-	3157	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062751	Parvovirinae	Dependovirus	-	3163	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062752	Parvovirinae	Dependovirus	-	3161	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062772	Parvovirinae	Dependovirus	-	2175	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062773	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062774	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062775	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062776	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062777	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062778	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062779	Parvovirinae	Dependovirus	-	2205	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062780	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062781	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062782	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062783	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062784	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062785	Parvovirinae	Dependovirus	-	2208	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062786	Parvovirinae	Dependovirus	-	2214	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062787	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA062788	Parvovirinae	Dependovirus	-	2217	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231825	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
JA231826	Parvovirinae	Dependovirus	-	2211	AAV	Adeno-associated virus	Homo sapiens	Human	Parvovirinae	Dependovirus
