taxon	sequenceID	name	locus_name	locus_numeric_id	scaffold	start_position	end_position	host_sci_name	host_class	host_superorder	host_order	host_family	host_genus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Lynx_canadensis	dependo.20-Lynx_canadensis	dependo.20-Lynx_canadensis	dependo.20-laurasiatheria	20	NC_044314.1	74711256	74711405	Lynx_canadensis	Mammalia	Laurasiatheria	Carnivora	Felidae	Lynx
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Martes_zibellina	dependo.20-Martes_zibellina	dependo.20-Martes_zibellina	dependo.20-laurasiatheria	20	RDFD01012257.1	697845	697988	Martes_zibellina	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Martes
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Mesoplodon_bidens	dependo.20-Mesoplodon_bidens	dependo.20-Mesoplodon_bidens	dependo.20-laurasiatheria	20	PVJJ010062959.1	3258	3443	Mesoplodon_bidens	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Mesoplodon
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Panthera_leo	dependo.20-Panthera_leo	dependo.20-Panthera_leo	dependo.20-laurasiatheria	20	CM018472.1	69507453	69507602	Panthera_leo	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Panthera_onca	dependo.20-Panthera_onca	dependo.20-Panthera_onca	dependo.20-laurasiatheria	20	PISV01002781.1	182008	182157	Panthera_onca	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Panthera_tigris_altaica	dependo.20-Panthera_tigris_altaica	dependo.20-Panthera_tigris_altaica	dependo.20-laurasiatheria	20	gi|589288889|ref|NW_006712088.1|	732706	732855	Panthera_tigris_altaica	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Paradoxurus_hermaphroditus	dependo.20-Paradoxurus_hermaphroditus	dependo.20-Paradoxurus_hermaphroditus	dependo.20-laurasiatheria	20	PITB01008125.1	59567	59731	Paradoxurus_hermaphroditus	Mammalia	Laurasiatheria	Carnivora	Viverridae	Paradoxurus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Physeter_catodon	dependo.20-Physeter_catodon	dependo.20-Physeter_catodon	dependo.20-laurasiatheria	20	gi|589812373|ref|NW_006724217.1|	632335	632556	Physeter_catodon	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Physeter
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Prionailurus_bengalensis_euptilurus	dependo.20-Prionailurus_bengalensis_euptilurus	dependo.20-Prionailurus_bengalensis_euptilurus	dependo.20-laurasiatheria	20	BIMV01006763.1	3659	3808	Prionailurus_bengalensis_euptilurus	Mammalia	Laurasiatheria	Carnivora	Felidae	Prionailurus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Puma_concolor	dependo.20-Puma_concolor	dependo.20-Puma_concolor	dependo.20-laurasiatheria	20	NW_020340053.1	10982448	10982597	Puma_concolor	Mammalia	Laurasiatheria	Carnivora	Felidae	Puma
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Zalophus_californianus	dependo.20-Zalophus_californianus	dependo.20-Zalophus_californianus	dependo.20-laurasiatheria	20	NW_020878390.1	24819086	24819328	Zalophus_californianus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Zalophus
