taxon	sequenceID	name	locus_numeric_id	scaffold	num_species	nearest_upstream_orf	nearest_downstream_orf
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782247	MN782247	MN782247	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782248	MN782248	MN782248	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782249	MN782249	MN782249	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782250	MN782250	MN782250	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782251	MN782251	MN782251	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782252	MN782252	MN782252	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782253	MN782253	MN782253	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782254	MN782254	MN782254	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782255	MN782255	MN782255	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782256	MN782256	MN782256	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782257	MN782257	MN782257	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782258	MN782258	MN782258	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782259	MN782259	MN782259	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782260	MN782260	MN782260	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782261	MN782261	MN782261	-	-	-	-	-
alignment/AL_EPV-DEPENDO-1-whippomorpha/member/ncbi-curated-dependo-epv/MN782262	MN782262	MN782262	-	-	-	-	-
