record_id	sequenceID	organism	Class	Superorder	Order	Family	Genus	virus_genus	target_version	target_name	scaffold	extract_start	extract_end	sequence_length	assigned_name	assigned_gene	orientation	bitscore	identity
546	Macropus_eugenii_Bufa_546	Macropus_eugenii	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	Bufavirus	goldenpath_macEug2	macEug2.fa	GL121440	39131	39517	387	Bufavirus-3	VP	-	110	40.769
210985	Hipposideros_galeritus_Proto_210985	Hipposideros_galeritus	Mammalia	Laurasiatheria	Chiroptera	Hipposideridae	Hipposideros	Protoparvovirus	HipGal_v1	GCA_004027415.1_HipGal_v1_BIUU_genomic.fna	PVLB01002856.1	81076	81573	498	Porcine-parvovirus-6	NS	+	93.6	31.548
169456	Oryx_gazella_Proto_169456	Oryx_gazella	Mammalia	Laurasiatheria	Unclassified	Bovidae	Oryx	Protoparvovirus	GMB	GCA_006410575.1_GMB_genomic.fna	SJYN01004517.1	78240	78677	438	Porcine-parvovirus-6	NS	+	95.9	35.333
128338	Oryx_gazella_Proto_128338	Oryx_gazella	Mammalia	Laurasiatheria	Unclassified	Bovidae	Oryx	Protoparvovirus	UCDavis_Ogaz_1	GCA_003945745.1_UCDavis_Ogaz_1_genomic.fna	RAWW01004203.1	78240	78677	438	Porcine-parvovirus-6	NS	+	95.9	35.333
128324	Eonycteris_spelaea_Proto_128324	Eonycteris_spelaea	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Eonycteris	Protoparvovirus	Espe.v1	GCA_003508835.1_Espe.v1_genomic.fna	PUFA01000452.1	241222	241632	411	Porcine-parvovirus-6	NS	-	108	38.686
128322	Diceros_bicornis_Proto_128322	Diceros_bicornis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Diceros	Protoparvovirus	DicBicMic_v1_BIUU	GCA_004027315.1_DicBicMic_v1_BIUU_genomic.fna	PVJY010002153.1	50561	50890	330	Porcine-parvovirus-5	NS	-	67.8	35.577
128321	Ceratotherium_simum_cottoni_Proto_128321	Ceratotherium_simum_cottoni	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	Protoparvovirus	CerCot_v1_BIUU	GCA_004027795.1_CerCot_v1_BIUU_genomic.fna	PVLE01016141.1	16046	16375	330	Porcine-parvovirus-5	NS	-	64.7	34.615
128190	Hydrochoerus_hydrochaeris_Proto_128190	Hydrochoerus_hydrochaeris	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	Protoparvovirus	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01238421.1	77	337	261	Mpulungu-bufavirus	NS	-	134	64.368
127828	Hyaena_hyaena_Proto_127828	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Protoparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01129534.1	79	384	306	Porcine-parvovirus-6	VP	-	111	50.495
127834	Hyaena_hyaena_Proto_127834	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Protoparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01255478.1	6	209	204	Porcine-parvovirus-6	VP	-	81.3	51.471
127838	Hyaena_hyaena_Proto_127838	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Protoparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01147059.1	36	341	306	Porcine-parvovirus-6	VP	-	111	50.495
127839	Hyaena_hyaena_Proto_127839	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Protoparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01197463.1	4	252	249	Porcine-parvovirus-6	VP	-	95.5	51.807
127824	Tamandua_tetradactyla_Proto_127824	Tamandua_tetradactyla	Mammalia	Xenarthra	Pilosa	Myrmecophagidae	Tamandua	Protoparvovirus	TamTet_v1	GCA_004025105.1_TamTet_v1_BIUU_genomic.fna	PVIF010024111.1	5551	9363	3813	Porcine-parvovirus	NS	+	498	51.76
127814	Myocastor_coypus_Proto_127814	Myocastor_coypus	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	Protoparvovirus	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010000900.1	59481	60246	766	Mpulungu-bufavirus	NS	+	176	53.247
127808	Mormoops_blainvillei_Proto_127808	Mormoops_blainvillei	Mammalia	Laurasiatheria	Chiroptera	Mormoopidae	Mormoops	Protoparvovirus	MorMeg_v1	GCA_004026545.1_MorMeg_v1_BIUU_genomic.fna	PVJD01010147.1	33476	33964	489	Porcine-parvovirus-6	NS	-	80.9	31.373
127633	Heterohyrax_brucei_Proto_127633	Heterohyrax_brucei	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Heterohyrax	Protoparvovirus	HetBruBak_v1_BIUU	GCA_004026845.1_HetBruBak_v1_BIUU_genomic.fna	PVJQ01016109.1	8211	8465	255	Canine-parvovirus	VP	+	72.4	44.318
127631	Graphiurus_murinus_Proto_127631	Graphiurus_murinus	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	Protoparvovirus	GraMur_v1_BIUU	GCA_004027655.1_GraMur_v1_BIUU_genomic.fna	PVLC010098622.1	2001	2318	318	Canine-parvovirus	VP	+	83.2	45.455
127632	Graphiurus_murinus_Proto_127632	Graphiurus_murinus	Mammalia	Euarchontoglires	Rodentia	Gliridae	Graphiurus	Protoparvovirus	GraMur_v1_BIUU	GCA_004027655.1_GraMur_v1_BIUU_genomic.fna	PVLC010075717.1	3405	3728	324	Porcine-parvovirus	VP	+	77	52.703
127447	Trichechus_manatus_Proto_127447	Trichechus_manatus	Mammalia	Afrotheria	Sirenia	Trichechidae	Trichechus	Protoparvovirus	goldenpath_triMan1	triMan1.fa_2.fa	JH594625	3922997	3924142	1146	Mpulungu-bufavirus	NS	-	154	56.8
127373	Takifugu_rubripes_Proto_127373	Takifugu_rubripes	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu	Protoparvovirus	FUGU4	Takifugu_rubripes.FUGU4.dna.nonchromosomal.fa	scaffold_8385	278	2135	1858	WUHARV-Parvovirus-1	VP	+	115	32.11
127356	Mus_spretus_Proto_127356	Mus_spretus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus	Protoparvovirus	SPRET_EiJ_v1	GCA_001624865.1_SPRET_EiJ_v1_genomic.fa	CM004109.1	92706775	92709724	2950	Porcine-parvovirus	VP	-	857	76.224
127524	Apodemus_sylvaticus_Proto_127524	Apodemus_sylvaticus	Mammalia	Euarchontoglires	Rodentia	Muridae	Apodemus	Protoparvovirus	GCA_001305905.1	GCA_001305905.1_ASM130590v1_genomic.fa	LIPJ01000560.1	36780	40287	3508	Porcine-parvovirus	VP	-	810	72.676
127498	Mus_spicilegus_Proto_127498	Mus_spicilegus	Mammalia	Euarchontoglires	Rodentia	Muridae	Mus	Protoparvovirus	GCA_003336285.1_MUSP714	GCA_003336285.1_MUSP714_genomic.fna	QGOO01000499.1	393893	397325	3433	Minute-virus-of-mice	VP	-	819	65.498
126716	Dolichotis_patagonum_Proto_126716	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	Protoparvovirus	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX011902850.1	3	197	195	Mpulungu-bufavirus	NS	+	118	82.812
78061	Capra_sibirica_Proto_78061	Capra_sibirica	Mammalia	Laurasiatheria	Unclassified	Bovidae	Capra	Protoparvovirus	ASM318261v1	GCA_003182615.1_ASM318261v1_genomic.fna	NIYN01029184.1	37137697	37138179	483	Porcine-parvovirus-6	NS	+	80.5	31.875
69206	Takifugu_flavidus_Proto_69206	Takifugu_flavidus	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu	Protoparvovirus	v1	GCA_000400755.1_version_1_of_Takifugu_flavidus_genome_genomic.fna	KE121665.1	15726	16812	1087	WUHARV-Parvovirus-1	VP	-	119	31.602
69200	Rhinolophus_sinicus_Proto_69200	Rhinolophus_sinicus	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus	Protoparvovirus	ASM188883v1	GCF_001888835.1_ASM188883v1_genomic.fna	NW_017739348.1	541405	541922	518	Porcine-parvovirus-6	NS	-	70.1	42.683
69153	Phascolarctos_cinereus_Proto_69153	Phascolarctos_cinereus	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	Protoparvovirus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00039	8062682	8063290	609	Mpulungu-bufavirus	NS	+	223	54.412
67208	Protobothrops_mucrosquamatus_Proto_67208	Protobothrops_mucrosquamatus	Unclassified	Lepidosauria	Squamata	Viperidae	Protobothrops	Protoparvovirus	P.Mucros_1.0	103944_ref_P.Mucros_1.0_chrUn.fa	gi|1002152152|ref|NW_015386759.1|	99998	100711	714	Minute-virus-of-mice	NS	-	192	41.975
453	Echinops_telfairi_Proto_453	Echinops_telfairi	Mammalia	Afrotheria	Unclassified	Tenrecidae	Echinops	Protoparvovirus	goldenpath_echTel2	echTel2.fa	JH980294	81310205	81310552	348	Porcine-parvovirus	NS	-	108	53.774
67069	Rattus_norvegicus_Proto_67069	Rattus_norvegicus	Mammalia	Euarchontoglires	Rodentia	Muridae	Rattus	Protoparvovirus	goldenpath_rn6	rn6.fa_4.fa	chr5	68317394	68319566	2173	Canine-parvovirus	VP	-	575	65.682
66393	Phascolarctos_cinereus_Proto_66393	Phascolarctos_cinereus	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	Protoparvovirus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00056	8158598	8158813	216	Minute-virus-of-mice	VP	-	77.4	48.611
566	Orycteropus_afer_Proto_566	Orycteropus_afer	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	Protoparvovirus	broad_v0_2012	O_afer_v0.assembly.fa	scaffold00132	915509	915751	243	Minute-virus-of-mice	VP	-	74.3	55.738
3786	Cavia_aperea_Proto_3786	Cavia_aperea	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	Protoparvovirus	CavAp1.0	GCA_000688575.1_CavAp1.0_genomic.fna	AVPZ01000245.1	24691043	24691207	165	WUHARV-Parvovirus-1	NS	+	75.1	57.407
66729	Cavia_porcellus_Proto_66729	Cavia_porcellus	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	Protoparvovirus	goldenpath_cavPor3	cavPor3.fa	scaffold_27	12841261	12841548	288	WUHARV-Parvovirus-1	VP	+	92.4	61.458
696	Takifugu_rubripes_Proto_696	Takifugu_rubripes	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu	Protoparvovirus	FUGU4	Takifugu_rubripes.FUGU4.dna.nonchromosomal.fa	scaffold_3662	4894	5268	369	WUHARV-Parvovirus-1	VP	-	67.8	33.065
529	Cavia_porcellus_Proto_529	Cavia_porcellus	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	Protoparvovirus	goldenpath_cavPor3	cavPor3.fa	scaffold_31	24706677	24706841	165	WUHARV-Parvovirus-1	NS	+	73.6	55.556
66843	Rhinolophus_ferrumequinum_Proto_66843	Rhinolophus_ferrumequinum	Mammalia	Laurasiatheria	Chiroptera	Rhinolophidae	Rhinolophus	Protoparvovirus	ncbi_AWHA00000000.1_2015-05	AWHA01.2.fsa_nt.fa	gi|539521749|gb|AWHA01101022.1|	15930	16448	519	Porcine-parvovirus-6	NS	+	111	35.955
66838	Panthera_tigris_altaica_Proto_66838	Panthera_tigris_altaica	Mammalia	Laurasiatheria	Carnivora	Felidae	Panthera	Protoparvovirus	ncbi_100_2014-03	74533_ref_PanTig1.0_chrUn.fa	gi|589289565|ref|NW_006711412.1|	1823966	1824373	408	Porcine-parvovirus-6	NS	-	83.6	34.307
66840	Pteropus_alecto_Proto_66840	Pteropus_alecto	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	Protoparvovirus	broad_1.0_april_2012	unplaced.scaf.fa_5.fa	gi|431914431|gb|KB030533.1|	3953770	3954246	477	Porcine-parvovirus-6	NS	+	106	38.356
66361	Phascolarctos_cinereus_Proto_66361	Phascolarctos_cinereus	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	Protoparvovirus	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00275	3108503	3108655	153	Mpulungu-bufavirus	VP	+	70.5	62.745
1666	Takifugu_flavidus_Proto_1666	Takifugu_flavidus	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu	Protoparvovirus	v1	GCA_000400755.1_version_1_of_Takifugu_flavidus_genome_genomic.fna	KE121765.1	64936	65115	180	Mpulungu-bufavirus	NS	-	62.8	41.667
1665	Takifugu_flavidus_Proto_1665	Takifugu_flavidus	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu	Protoparvovirus	v1	GCA_000400755.1_version_1_of_Takifugu_flavidus_genome_genomic.fna	AOOT01106240.1	275	454	180	Mpulungu-bufavirus	NS	+	62.8	41.667
835	Takifugu_rubripes_Proto_835	Takifugu_rubripes	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu	Protoparvovirus	FUGU4	Takifugu_rubripes.FUGU4.dna.nonchromosomal.fa	scaffold_3662	6741	6920	180	Mpulungu-bufavirus	NS	-	62.8	41.667
834	Takifugu_rubripes_Proto_834	Takifugu_rubripes	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu	Protoparvovirus	FUGU4	Takifugu_rubripes.FUGU4.dna.nonchromosomal.fa	scaffold_3621	3097	3276	180	Mpulungu-bufavirus	NS	-	62.8	41.667
704	Chrysochloris_asiatica_Proto_704	Chrysochloris_asiatica	Mammalia	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris	Protoparvovirus	broad_ChrAsi1.0_2012	C_asiatica_v0.assembly.fa	scaffold00010	34329538	34329762	225	Mpulungu-bufavirus	NS	+	95.9	65.278
560	Nannospalax_galili_Proto_560	Nannospalax_galili	Mammalia	Euarchontoglires	Rodentia	Spalacidae	Nannospalax	Protoparvovirus	S.galili_v1.0	1026970_ref_S.galili_v1.0_chrUn.fa	gi|671650055|ref|NW_008360312.1|	2110666	2110848	183	Mpulungu-bufavirus	VP	-	87	62.5
534	Chrysochloris_asiatica_Proto_534	Chrysochloris_asiatica	Mammalia	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris	Protoparvovirus	broad_ChrAsi1.0_2012	C_asiatica_v0.assembly.fa	scaffold00010	34331402	34331746	345	Porcine-parvovirus	VP	+	74.3	42.982
499	Pteropus_vampyrus_Proto_499	Pteropus_vampyrus	Mammalia	Laurasiatheria	Chiroptera	Pteropodidae	Pteropus	Protoparvovirus	goldenpath_pteVam1	pteVam1.fa	scaffold_5601	29335	29844	510	Porcine-parvovirus-6	NS	-	94.7	31.902
476	Miniopterus_natalensis_Proto_476	Miniopterus_natalensis	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Miniopterus	Protoparvovirus	Mnat.v1	291302_ref_Mnat.v1_chrUn.fa	gi|1016330841|ref|NW_015504223.1|	436127	436450	324	Porcine-parvovirus-6	NS	-	73.6	39.773
214503	Indri_indri_Erythro_214503	Indri_indri	Mammalia	Euarchontoglires	Primates	Indriidae	Indri	Erythroparvovirus	IndInd_v1_BIUU	GCA_004363605.1_IndInd_v1_BIUU_genomic.fna	RJWJ010000280.1	121873	123297	1425	Human-parvovirus-B19	NS	+	291	41.147
214316	Indri_indri_Erythro_214316	Indri_indri	Mammalia	Euarchontoglires	Primates	Indriidae	Indri	Erythroparvovirus	IndInd_v1_BIUU	GCA_004363605.1_IndInd_v1_BIUU_genomic.fna	RJWJ010000280.1	124597	126126	1530	Human-parvovirus-B19	VP	+	358	40
127842	Hyaena_hyaena_Erythro_127842	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01280425.1	3	206	204	Human-parvovirus-B19	VP	-	75.5	48.529
127829	Hyaena_hyaena_Erythro_127829	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01179570.1	1	267	267	Human-erythrovirus-V9	VP	-	68.9	53.846
127830	Hyaena_hyaena_Erythro_127830	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01120160.1	2	364	363	Human-parvovirus-B19	VP	+	134	54.464
127831	Hyaena_hyaena_Erythro_127831	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01131080.1	67	381	315	Human-erythrovirus-V9	VP	-	119	52.381
127832	Hyaena_hyaena_Erythro_127832	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01157949.1	6	299	294	Human-parvovirus-B19	VP	+	72.8	35.714
127833	Hyaena_hyaena_Erythro_127833	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01209875.1	2	238	237	Human-erythrovirus-V9	VP	+	86.7	53.521
127835	Hyaena_hyaena_Erythro_127835	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01158965.1	1	291	291	Human-parvovirus-B19	VP	-	107	53.933
127836	Hyaena_hyaena_Erythro_127836	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01120564.1	80	373	294	Human-parvovirus-B19	VP	-	73.2	35.714
127837	Hyaena_hyaena_Erythro_127837	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01167541.1	6	299	294	Human-parvovirus-B19	VP	+	72.8	35.714
127840	Hyaena_hyaena_Erythro_127840	Hyaena_hyaena	Mammalia	Laurasiatheria	Carnivora	Hyaenidae	Hyaena	Erythroparvovirus	HyaHya_v1	GCA_004023945.1_HyaHya_v1_BIUU_genomic.fna	PITC01120563.1	101	394	294	Human-parvovirus-B19	VP	-	73.2	35.714
127793	Dolichotis_patagonum_Erythro_127793	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	Erythroparvovirus	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010011861.1	30224	30983	760	Human-erythrovirus-V9	NS	+	151	44.828
69003	Giraffa_camelopardalis_tippelskirchi_Erythro_69003	Giraffa_camelopardalis_tippelskirchi	Mammalia	Laurasiatheria	Unclassified	Giraffidae	Giraffa	Erythroparvovirus	ASM165123v1	GCA_001651235.1_ASM165123v1_genomic.fna	LVKQ01S056239.1	483	1172	690	Human-erythrovirus-V9	NS	-	205	47.788
66903	Giraffa_camelopardalis_tippelskirchi_Erythro_66903	Giraffa_camelopardalis_tippelskirchi	Mammalia	Laurasiatheria	Unclassified	Giraffidae	Giraffa	Erythroparvovirus	ASM165123v1	GCA_001651235.1_ASM165123v1_genomic.fna	LVKQ01S051553.1	20	694	675	Human-parvovirus-B19	VP	+	202	47.321
731	Acanthisitta_chloris_Dependo_731	Acanthisitta_chloris	Aves	Neognathae	Passeriformes	Acanthisittidae	Acanthisitta	Dependoparvovirus	bgi_2011-10-28	Acanthisitta_chloris.scaf.noBacterial.fa	scaffold6994	79163	79330	168	Snake-adeno-associated-virus	VP	-	63.5	58.182
70005	Ammotragus_lervia_Dependo_70005	Ammotragus_lervia	Mammalia	Laurasiatheria	Unclassified	Bovidae	Ammotragus	Dependoparvovirus	NAZ_v1.0	GCA_002201775.1_A_lervia_NAZ_v1.0_genomic.fna	NIVO01011144.1	204621	204845	225	Avian-adeno-associated-virus-ATCC-VR-865	NS	-	79.7	50.685
127826	Anoura_caudifer_Dependo_127826	Anoura_caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura	Dependoparvovirus	AnoCau_v1_BIUU	GCA_004027475.1_AnoCau_v1_BIUU_genomic.fna	PVKU01001227.1	312774	313298	525	Adeno-associated-virus-5	VP	-	196	56.818
127765	Anoura_caudifer_Dependo_127765	Anoura_caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura	Dependoparvovirus	AnoCau_v1_BIUU	GCA_004027475.1_AnoCau_v1_BIUU_genomic.fna	PVKU01001227.1	314400	315434	1035	Goose-parvovirus	NS	-	232	42.899
127764	Anoura_caudifer_Dependo_127764	Anoura_caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura	Dependoparvovirus	AnoCau_v1_BIUU	GCA_004027475.1_AnoCau_v1_BIUU_genomic.fna	PVKU01002692.1	191749	192294	546	Adeno-associated-virus-2	NS	-	188	50
127766	Anoura_caudifer_Dependo_127766	Anoura_caudifer	Mammalia	Laurasiatheria	Chiroptera	Phyllostomidae	Anoura	Dependoparvovirus	AnoCau_v1_BIUU	GCA_004027475.1_AnoCau_v1_BIUU_genomic.fna	PVKU01007968.1	73669	73962	294	Adeno-associated-virus-2	NS	-	123	60
191838	Antrozous_pallidus_Dependo_191838	Antrozous_pallidus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Antrozous	Dependoparvovirus	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	VMDP01009643.1	24577	24918	342	Adeno-associated-virus-2	NS	+	174	80.583
127536	Apodemus_speciosus_Dependo_127536	Apodemus_speciosus	Mammalia	Euarchontoglires	Rodentia	Muridae	Apodemus	Dependoparvovirus	Aspe_assembly01	GCA_002335545.1_Aspe_assembly01_genomic.fna	BDUI01074050.1	1293	2146	854	Adeno-associated-virus-2	NS	-	209	71.97
127292	Apodemus_sylvaticus_Dependo_127292	Apodemus_sylvaticus	Mammalia	Euarchontoglires	Rodentia	Muridae	Apodemus	Dependoparvovirus	GCA_001305905.1	GCA_001305905.1_ASM130590v1_genomic.fa	LIPJ01001723.1	974868	976365	1498	Adeno-associated-virus-2	NS	+	259	61.972
