accession-ID	virus_name	virus_full_name	virus_subfamily	virus_genus	host_species
NC_027429	BdrPV	Bearded dragon parvovirus strain 2014	Parvovirinae	Dependoparvovirus	Homo sapiens
DQ335246	CAV	Caprine adeno-associated virus	Parvovirinae	Dependoparvovirus	Capra hircus
NC_001701	GPV	Goose parvovirus	Parvovirinae	Dependoparvovirus	Anser anser
NC_006147	MDPV	Muscovy duck parvovirus	Parvovirinae	Dependoparvovirus	Cairina moschata
AY243022	NHP-AAV-type1	NHP Adeno-associated virus type 1	Parvovirinae	Dependoparvovirus	Macaca mulatta
AY243021	NHP-AAV-type2	NHP Adeno-associated virus type 2	Parvovirinae	Dependoparvovirus	Macaca mulatta
AY243002	NHP-AAV11	NHP Adeno-associated virus 11	Parvovirinae	Dependoparvovirus	Macaca mulatta
KT984498	NHP-AAV6	NHP Adeno-associated virus 6	Parvovirinae	Dependoparvovirus	Macaca mulatta
NC_006148	SnakePV	Snake parvovirus 1	Parvovirinae	Dependoparvovirus	Python regius
NC_000883	B19	Human parvovirus B19	Parvovirinae	Erythroparvovirus	Homo sapiens
AF406967	Bovine-PV-3	Bovine parvovirus 3	Parvovirinae	Erythroparvovirus	Bos taurus
GQ200736	Chipmunk-PV	Chipmunk parvovirus	Parvovirinae	Erythroparvovirus	Tamias sibiricus
U26342	Simian-PV	Simian parvovirus	Parvovirinae	Erythroparvovirus	Macaca fascicularis
AF221123	Simian-PV-pgm	Pig-tailed macaque parvovirus	Parvovirinae	Erythroparvovirus	Macaca nemestrina
AF221122	Simian-PV-rm	Rhesus macaque parvovirus	Parvovirinae	Erythroparvovirus	Macaca mulatta
NC_026251	Sesavirus	Sesavirus	Parvovirinae	Marinoparvovirus	
KJ641666	BtHp-PV	Bat parvovirus	Parvovirinae	Protoparvovirus	Hipposideros pomona
NC_001539	CPV	Canine parvovirus	Parvovirinae	Protoparvovirus	Canis familiaris
EU659112	FPV	Feline panleukopenia virus	Parvovirinae	Protoparvovirus	Felis catus
JX505432	H-1	H-1 parvovirus	Parvovirinae	Protoparvovirus	
U34255	HamsterPV	Hamster parvovirus	Parvovirinae	Protoparvovirus	Cricetelus griseus
AF321230	Kilham	Kilham rat virus	Parvovirinae	Protoparvovirus	Rattus norvegicus
NC_026815	MpBuV	Mpulungu bufavirus	Parvovirinae	Protoparvovirus	
NC_001510	MVM1	Minute virus of mice	Parvovirinae	Protoparvovirus	Mus musculus
NC_001718	PPV	Porcine parvovirus	Parvovirinae	Protoparvovirus	Sus scrofa
D00623	PPV-NADL-2	Porcine parvovirus	Parvovirinae	Protoparvovirus	Sus scrofa
EU200669	Bovine-TetraPV	Bovine hokovirus	Parvovirinae	Tetraparvovirus	Bos taurus
HQ113143	Chimp-Parv-4	Chimpanzee parv4	Parvovirinae	Tetraparvovirus	Pan troglodytes
NC_031670	Deer-TetraPV	Deer tetraparvovirus	Parvovirinae	Tetraparvovirus	
NC_016744	Eh-BtPV-1	Eidolon helvum parvovirus 1	Parvovirinae	Tetraparvovirus	Eidolon helvum
AY622943	Human-Parv-4	Human parv4	Parvovirinae	Tetraparvovirus	Homo sapiens
MG745671	Opossum-TetraPV	Opossum tetraparvovirus	Parvovirinae	Tetraparvovirus	
JF504699	Ovine-TetraPV	Ovine hokovirus 1	Parvovirinae	Tetraparvovirus	Ovis aries
GU938300	Parvovirus YX-2010	Parvovirus YX-2010	Parvovirinae	Tetraparvovirus	Sus scrofa
EU200677	Porcine-TetraPV	Porcine hokovirus	Parvovirinae	Tetraparvovirus	Sus scrofa
MG745669	Rodent-TetraPV	Rodent tetraparvovirus	Parvovirinae	Tetraparvovirus	
NC_028136	Ungulate-TetraPV-1	Ungulate tetraparvovirus 1	Parvovirinae	Tetraparvovirus	
NC_025891	NcPV-1	Slow loris parvovirus 1	Parvovirinae	Unclassified-3	Nycticebus coucang
NC_030837	OtterPV-1	Sea otter parvovirus 1	Parvovirinae	Unclassified-4	Enhydra lutris
JX885610	Eh-PV-2	Eidolon helvum parvovirus 2	Parvovirinae	Unclassified-5	Eidolon helvum
