taxon	sequenceID	name	locus_numeric_id	scaffold	num_species	nearest_upstream_orf	nearest_downstream_orf
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.27-eulemur	dependo.27-eulemur	dependo.27-eulemur	27	genus	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.28-daubentonia	dependo.28-daubentonia	dependo.28-daubentonia	28	genus	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.3-lagomorpha	dependo.3-lagomorpha	dependo.3-lagomorpha	3	order	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.36-phyllostomidae	dependo.36-phyllostomidae	dependo.36-phyllostomidae	36	genus	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.37-rhinolophus	dependo.37-rhinolophus	dependo.37-rhinolophus	37	genus	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.370-pelecanus	dependo.370-pelecanus	dependo.370-pelecanus	370	species	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.4-rhinocerotidae	dependo.4-rhinocerotidae	dependo.4-rhinocerotidae	4	family	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.42-chinchilla	dependo.42-chinchilla	dependo.42-chinchilla	42	genus	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.43-octodon	dependo.43-octodon	dependo.43-octodon	43	genus	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.46-gliridae	dependo.46-gliridae	dependo.46-gliridae	46	family	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.53-cavia	dependo.53-cavia	dependo.53-cavia	53	genus	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.54-cavia	dependo.54-cavia	dependo.54-cavia	54	genus	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.56-cavia	dependo.56-cavia	dependo.56-cavia	56	family	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.6-elephas	dependo.6-elephas	dependo.6-elephas	6	genus	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/fasta-refseqs-dependo-epv/dependo.9-hyracoidea	dependo.9-hyracoidea	dependo.9-hyracoidea	9	clade	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/DQ813647	DQ813647	AAV12	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/FJ688147	FJ688147	AAVpo1	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/LY408697	LY408697	AAV10	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/MF416383	MF416383	Mouse-AAV1	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs/NC_001401	NC_001401	AAV2	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_001729	NC_001729	AAV3	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_001829	NC_001829	AAV4	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_002077	NC_002077	AAV1	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_006147	NC_006147	MDPV	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_006148	NC_006148	SnakePV	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_006152	NC_006152	AAV5	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_006260	NC_006260	AAV7	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_006261	NC_006261	AAV8	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_014468	NC_014468	AAV-bat	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_027429	NC_027429	BdrPV	-	-	-	-	-
alignment/AL_TREE_ROOT_EPV_DEPENDO_Rep/member/ncbi-refseqs-dependo/NC_038539	NC_038539	AAV-sealion	-	-	-	-	-
