organism,Species,target_version,Class,Superorder,Order,Family,Genus
Chrysemys_picta,Chrysemys picta,goldenpath_chrPic1_2011,Unclassified,Unclassified,Testudines,Emydidae,Chrysemys
Chrysochloris_asiatica,Chrysochloris asiatica,broad_ChrAsi1.0_2012,Mammalia,Afrotheria,Unclassified,Chrysochloridae,Chrysochloris
Clupea_harengus,Clupea harengus,ncbi_7950_2015,Actinopteri,Unclassified,Clupeiformes,Clupeidae,Clupea
Colius_striatus,Colius striatus,bgi_2011-10-28,Aves,Neognathae,Coliiformes,Coliidae,Colius
Colobus_angolensis_palliatus,Colobus angolensis palliatus,ncbi_100_2015,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Colobus
Columba_livia,Columba livia,bgi_2011-10-28,Aves,Neognathae,Columbiformes,Columbidae,Columba
Corvus_brachyrhynchos,Corvus brachyrhynchos,bgi_2011-10-28,Aves,Neognathae,Passeriformes,Corvidae,Corvus
Corvus_cornix_cornix,Corvus cornix cornix,932674,Aves,Neognathae,Passeriformes,Corvidae,Corvus
Coturnix_japonica,Coturnix japonica,ncbi_2.0,Aves,Neognathae,Galliformes,Phasianidae,Coturnix
Cricetulus_griseus,Cricetulus griseus,goldenpath_criGri1,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Cricetulus
Crocodylus_porosus,Crocodylus porosus,crocgenomes_sub2,Unclassified,Unclassified,Crocodylia,Crocodylidae,Crocodylus
Cuculus_canorus,Cuculus canorus,bgi_2011-10-28,Aves,Neognathae,Cuculiformes,Cuculidae,Cuculus
Cynoglossus_semilaevis,Cynoglossus semilaevis,cse_v1.0,Actinopteri,Unclassified,Pleuronectiformes,Cynoglossidae,Cynoglossus
Danio_rerio,Danio rerio,ensembl_79_Zv9,Actinopteri,Cypriniphysae,Cypriniformes,Cyprinidae,Danio
Dasypus_novemcinctus,Dasypus novemcinctus,goldenpath_dasNov3,Mammalia,Xenarthra,Cingulata,Dasypodidae,Dasypus
Daubentonia_madagascariensis,Daubentonia madagascariensis,broad_1.0_oct_2012,Mammalia,Euarchontoglires,Primates,Daubentoniidae,Daubentonia
Dipodomys_ordii,Dipodomys ordii,ensembl_79_dipOrd1,Mammalia,Euarchontoglires,Rodentia,Heteromyidae,Dipodomys
Echinops_telfairi,Echinops telfairi,goldenpath_echTel2,Mammalia,Afrotheria,Unclassified,Tenrecidae,Echinops
Egretta_garzetta,Egretta garzetta,bgi_2011-10-28,Aves,Neognathae,Pelecaniformes,Ardeidae,Egretta
Eidolon_helvum,Eidolon helvum,GCA_000465285.1,Mammalia,Laurasiatheria,Chiroptera,Pteropodidae,Eidolon
Elephantulus_edwardii,Elephantulus edwardii,broad_1.0_april_2013,Mammalia,Afrotheria,Macroscelidea,Macroscelididae,Elephantulus
Eptesicus_fuscus,Eptesicus fuscus,broad_1.0_april_2013,Mammalia,Laurasiatheria,Chiroptera,Vespertilionidae,Eptesicus
Equus_africanus_asinus,Equus africanus asinus,willy_denovo,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Equus_caballus,Equus caballus,goldenpath_equCab2_Dec13,Mammalia,Laurasiatheria,Perissodactyla,Equidae,Equus
Erinaceus_europaeus,Erinaceus europaeus,goldenpath_eriEur2,Mammalia,Laurasiatheria,Insectivora,Erinaceidae,Erinaceus
Esox_lucius,Esox lucius,ASM72191v2,Actinopteri,Unclassified,Esociformes,Esocidae,Esox
Eurypyga_helias,Eurypyga helias,bgi_2011-10-28,Aves,Neognathae,Gruiformes,Eurypygidae,Eurypyga
Falco_peregrinus,Falco peregrinus,bgi_2011-10-28,Aves,Neognathae,Falconiformes,Falconidae,Falco
Felis_catus,Felis catus,goldenpath_felCat5,Mammalia,Laurasiatheria,Carnivora,Felidae,Felis
Ficedula_albicollis,Ficedula albicollis,FicAlb_1.4,Aves,Neognathae,Passeriformes,Muscicapidae,Ficedula
Fukomys_damarensis,Fukomys damarensis,ncbi_1.0_2014,Mammalia,Euarchontoglires,Rodentia,Bathyergidae,Fukomys
Fulmarus_glacialis,Fulmarus glacialis,bgi_2011-10-28,Aves,Neognathae,Procellariiformes,Procellariidae,Fulmarus
Fundulus_heteroclitus,Fundulus heteroclitus,3.0.2,Actinopteri,Atherinomorphae,Cyprinodontiformes,Fundulidae,Fundulus
Gadus_morhua,Gadus morhua,goldenpath_gadMor1_2010_05,Actinopteri,Unclassified,Gadiformes,Gadidae,Gadus
Galeopterus_variegatus,Galeopterus variegatus,G-variegatus_3.0.2_apr_2015,Mammalia,Euarchontoglires,Dermoptera,Cynocephalidae,Galeopterus
Gallus_gallus,Gallus gallus,goldenpath_galGal4,Aves,Neognathae,Galliformes,Phasianidae,Gallus
Gasterosteus_aculeatus,Gasterosteus aculeatus,BROADS1,Actinopteri,Unclassified,Perciformes,Gasterosteidae,Gasterosteus
Gavia_stellata,Gavia stellata,bgi_2011-10-28,Aves,Neognathae,Gaviiformes,Gaviidae,Gavia
Gavialis_gangeticus,Gavialis gangeticus,ggan_v0.2,Unclassified,Unclassified,Crocodylia,Gavialidae,Gavialis
Gekko_japonicus,Gekko japonicus,V1.1,Unclassified,Lepidosauria,Squamata,Gekkonidae,Gekko
Geospiza_fortis,Geospiza fortis,goldenpath_geoFor1,Aves,Neognathae,Passeriformes,Thraupidae,Geospiza
Gorilla_gorilla,Gorilla gorilla,goldenpath_gorGor3,Mammalia,Euarchontoglires,Primates,Hominidae,Gorilla
Haliaeetus_albicilla,Haliaeetus albicilla,bgi_2012-3-16,Aves,Neognathae,Falconiformes,Accipitridae,Haliaeetus
Haliaeetus_leucocephalus,Haliaeetus leucocephalus,bgi_2012-03-16,Aves,Neognathae,Falconiformes,Accipitridae,Haliaeetus
Haplochromis_burtoni,Haplochromis burtoni,1,Actinopteri,Cichlomorphae,Cichliformes,Cichlidae,Haplochromis
Heterocephalus_glaber,Heterocephalus glaber,goldenpath_hetGla2,Mammalia,Euarchontoglires,Rodentia,Bathyergidae,Heterocephalus
Homo_sapiens,Homo sapiens,goldenpath_hg38,Mammalia,Euarchontoglires,Primates,Hominidae,Homo
Hynobius_chinensis,Hynobius chinensis,sung-2015,Amphibia,Batrachia,Caudata,Hynobiidae,Hynobius
Ictidomys_tridecemlineatus,Ictidomys tridecemlineatus,ensembl_79_spetri2,Mammalia,Euarchontoglires,Rodentia,Sciuridae,Ictidomys
Jaculus_jaculus,Jaculus jaculus,broad_JacJac1.0,Mammalia,Euarchontoglires,Rodentia,Dipodidae,Jaculus
Larimichthys_crocea,Larimichthys crocea,ASM74293v1,Actinopteri,Unclassified,Unclassified,Sciaenidae,Larimichthys
Latimeria_chalumnae,Latimeria chalumnae,LatCha1,Unclassified,Unclassified,Coelacanthiformes,Coelacanthidae,Latimeria
Lepisosteus_oculatus,Lepisosteus oculatus,LepOcu1,Actinopteri,Unclassified,Semionotiformes,Lepisosteidae,Lepisosteus
Leptonychotes_weddellii,Leptonychotes weddellii,broad_1.1_april_2013,Mammalia,Laurasiatheria,Carnivora,Phocidae,Leptonychotes
Leptosomus_discolor,Leptosomus discolor,bgi_2011-10-28,Aves,Neognathae,Coraciiformes,Leptosomidae,Leptosomus
Lipotes_vexillifer,Lipotes vexillifer,ncbi_100_2014-04-27,Mammalia,Laurasiatheria,Cetacea,Lipotidae,Lipotes
Loxodonta_africana,Loxodonta africana,goldenpath_loxAfr3,Mammalia,Afrotheria,Proboscidea,Elephantidae,Loxodonta
Macaca_fascicularis,Macaca fascicularis,5,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Macaca
Macaca_mulatta,Macaca mulatta,goldenpath_rheMac3,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Macaca
Macropus_eugenii,Macropus eugenii,goldenpath_macEug2,Mammalia,Unclassified,Diprotodontia,Macropodidae,Macropus
Manacus_vitellinus,Manacus vitellinus,28/10/2011,Aves,Neognathae,Passeriformes,Pipridae,Manacus
Mandrillus_leucophaeus,Mandrillus leucophaeus,Mleu.le_1.0,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Mandrillus
Maylandia_zebra,Maylandia zebra,UMD1,Actinopteri,Cichlomorphae,Cichliformes,Cichlidae,Maylandia
Megaderma_lyra,Megaderma lyra,ncbi_AWHB00000000.1_2015-05,Mammalia,Laurasiatheria,Chiroptera,Megadermatidae,Megaderma
Meleagris_gallopavo,Meleagris gallopavo,goldenpath_melGal1,Aves,Neognathae,Galliformes,Phasianidae,Meleagris
Melopsittacus_undulatus,Melopsittacus undulatus,goldenpath_melUnd1,Aves,Neognathae,Psittaciformes,Psittaculidae,Melopsittacus
Merops_nubicus,Merops nubicus,bgi_2011-10-28,Aves,Neognathae,Coraciiformes,Meropidae,Merops
Mesitornis_unicolor,Mesitornis unicolor,bgi_2011-10-28,Aves,Neognathae,Gruiformes,Mesitornithidae,Mesitornis
Mesocricetus_auratus,Mesocricetus auratus,broad_1.1_april_2013,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Mesocricetus
Microcebus_murinus,Microcebus murinus,goldenpath_micMur1,Mammalia,Euarchontoglires,Primates,Cheirogaleidae,Microcebus
Microtus_ochrogaster,Microtus ochrogaster,broad_1.0_april_2013,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Microtus
Monodelphis_domestica,Monodelphis domestica,goldenpath_monDom5,Mammalia,Unclassified,Didelphimorphia,Didelphidae,Monodelphis
Mus_musculus,Mus musculus,goldenpath_mm10,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mustela_putorius_furo,Mustela putorius furo,goldenpath_musFur1,Mammalia,Laurasiatheria,Carnivora,Mustelidae,Mustela
Myotis_brandtii,Myotis brandtii,ncbi_100_2013,Mammalia,Laurasiatheria,Chiroptera,Vespertilionidae,Myotis
Myotis_davidii,Myotis davidii,bgi_1.1_april_2013,Mammalia,Laurasiatheria,Chiroptera,Vespertilionidae,Myotis
Myotis_lucifugus,Myotis lucifugus,goldenpath_myoLuc2,Mammalia,Laurasiatheria,Chiroptera,Vespertilionidae,Myotis
Nannospalax_galili,Nannospalax galili,S.galili_v1.0,Mammalia,Euarchontoglires,Rodentia,Spalacidae,Nannospalax
Nasalis_larvatus,Nasalis larvatus,goldepath_nasLar1_2015-12,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Nasalis
Neolamprologus_brichardi,Neolamprologus brichardi,NeoBri1.0,Actinopteri,Cichlomorphae,Cichliformes,Cichlidae,Neolamprologus
Nipponia_nippon,Nipponia nippon,bgi_2011-10-28,Aves,Neognathae,Pelecaniformes,Threskiornithidae,Nipponia
Nomascus_leucogenys,Nomascus leucogenys,ensembl_79_Nleu1.0,Mammalia,Euarchontoglires,Primates,Hylobatidae,Nomascus
Nothobranchius_furzeri,Nothobranchius furzeri,Nfu_20140520,Actinopteri,Atherinomorphae,Cyprinodontiformes,Nothobranchiidae,Nothobranchius
Notophthalmus_viridescens,Notophthalmus viridescens,sung-2015,Amphibia,Batrachia,Caudata,Salamandridae,Notophthalmus
Notothenia_coriiceps,Notothenia coriiceps,ncbi_8208_2014,Actinopteri,Unclassified,Perciformes,Nototheniidae,Notothenia
Ochotona_princeps,Ochotona princeps,goldenpath_ochPri3,Mammalia,Euarchontoglires,Lagomorpha,Ochotonidae,Ochotona
Octodon_degus,Octodon degus,broad_1.0_july_2012,Mammalia,Euarchontoglires,Rodentia,Octodontidae,Octodon
Odobenus_rosmarus,Odobenus rosmarus,marinemamm_1.0_april_2013,Mammalia,Laurasiatheria,Carnivora,Odobenidae,Odobenus
Opisthocomus_hoazin,Opisthocomus hoazin,bgi_2011-10-28,Aves,Neognathae,Opisthocomiformes,Opisthocomidae,Opisthocomus
Orcinus_orca,Orcinus orca,ncbi_ANOL02_jan_2013,Mammalia,Laurasiatheria,Cetacea,Delphinidae,Orcinus
Oreochromis_niloticus,Oreochromis niloticus,goldenpath_oreNil2_2011_01,Actinopteri,Cichlomorphae,Cichliformes,Cichlidae,Oreochromis
Ornithorhynchus_anatinus,Ornithorhynchus anatinus,goldenpath_ornAna1_2007-03,Mammalia,Unclassified,Monotremata,Ornithorhynchidae,Ornithorhynchus
Orycteropus_afer,Orycteropus afer,broad_v0_2012,Mammalia,Afrotheria,Tubulidentata,Orycteropodidae,Orycteropus
Oryctolagus_cuniculus,Oryctolagus cuniculus,goldenpath_oryCun2,Mammalia,Euarchontoglires,Lagomorpha,Leporidae,Oryctolagus
Oryzias_latipes,Oryzias latipes,medaka1,Actinopteri,Atherinomorphae,Beloniformes,Adrianichthyidae,Oryzias
Otolemur_garnettii,Otolemur garnettii,goldenpath_otoGar3,Mammalia,Euarchontoglires,Primates,Galagidae,Otolemur
Ovis_aries,Ovis aries,goldenpath_oviAri3,Mammalia,Laurasiatheria,Unclassified,Bovidae,Ovis
Pan_troglodytes,Pan troglodytes,goldenpath_panTro4,Mammalia,Euarchontoglires,Primates,Hominidae,Pan
Panthera_tigris_altaica,Panthera tigris altaica,ncbi_100_2014-03,Mammalia,Laurasiatheria,Carnivora,Felidae,Panthera
Papio_anubis,Papio anubis,goldenpath_papAnu2,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Papio
Pelecanus_crispus,Pelecanus crispus,bgi_2011-10-28,Aves,Neognathae,Pelecaniformes,Pelecanidae,Pelecanus
Pelodiscus_sinensis,Pelodiscus sinensis,PelSin_1.0,Unclassified,Unclassified,Testudines,Trionychidae,Pelodiscus
Peromyscus_maniculatus_bairdii,Peromyscus maniculatus bairdii,1,Mammalia,Euarchontoglires,Rodentia,Cricetidae,Peromyscus
Petromyzon_marinus,Petromyzon marinus,Pmarinus_7.0,Unclassified,Unclassified,Petromyzontiformes,Petromyzontidae,Petromyzon
Phaethon_lepturus,Phaethon lepturus,bgi_2011-10-28,Aves,Neognathae,Pelecaniformes,Phaethontidae,Phaethon
Phalacrocorax_carbo,Phalacrocorax carbo,bgi_2011-10-28,Aves,Neognathae,Pelecaniformes,Phalacrocoracidae,Phalacrocorax
Phoenicopterus_ruber,Phoenicopterus ruber,bgi_2011-10-28,Aves,Neognathae,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus
Picoides_pubescens,Picoides pubescens,bgi_2011-10-28,Aves,Neognathae,Piciformes,Picidae,Picoides
Podiceps_cristatus,Podiceps cristatus,bgi_2011-10-28,Aves,Neognathae,Podicipediformes,Podicipedidae,Podiceps
Poecilia_formosa,Poecilia formosa,PoeFor_5.1.2,Actinopteri,Atherinomorphae,Cyprinodontiformes,Poeciliidae,Poecilia
Pongo_abelii,Pongo abelii,goldenpath_ponAbe2,Mammalia,Euarchontoglires,Primates,Hominidae,Pongo
Procavia_capensis,Procavia capensis,goldenpath_proCap1,Mammalia,Afrotheria,Hyracoidea,Procaviidae,Procavia
Propithecus_coquereli,Propithecus coquereli,Pcoq_1.0,Mammalia,Euarchontoglires,Primates,Indriidae,Propithecus
Protobothrops_mucrosquamatus,Protobothrops mucrosquamatus,P.Mucros_1.0,Unclassified,Lepidosauria,Squamata,Viperidae,Protobothrops
Pseudopodoces_humilis,Pseudopodoces humilis,1,Aves,Neognathae,Passeriformes,Paridae,Pseudopodoces
Pterocles_gutturalis,Pterocles gutturalis,bgi_2011-10-28,Aves,Neognathae,Ciconiiformes,Pteroclidae,Pterocles
Pteronotus_parnellii,Pteronotus parnellii,ncbi_AWGZ00000000.1_2015-05,Mammalia,Laurasiatheria,Chiroptera,Mormoopidae,Pteronotus
Pteropus_alecto,Pteropus alecto,broad_1.0_april_2012,Mammalia,Laurasiatheria,Chiroptera,Pteropodidae,Pteropus
Pteropus_vampyrus,Pteropus vampyrus,goldenpath_pteVam1,Mammalia,Laurasiatheria,Chiroptera,Pteropodidae,Pteropus
Pundamilia_nyererei,Pundamilia nyererei,PunNye1.0,Actinopteri,Cichlomorphae,Cichliformes,Cichlidae,Pundamilia
Pygoscelis_adeliae,Pygoscelis adeliae,bgi_2011-10-28,Aves,Neognathae,Sphenisciformes,Spheniscidae,Pygoscelis
Python_bivittatus,Python bivittatus,5.0.2,Unclassified,Lepidosauria,Squamata,Pythonidae,Python
Rattus_norvegicus,Rattus norvegicus,goldenpath_rn6,Mammalia,Euarchontoglires,Rodentia,Muridae,Rattus
Rhinolophus_ferrumequinum,Rhinolophus ferrumequinum,ncbi_AWHA00000000.1_2015-05,Mammalia,Laurasiatheria,Chiroptera,Rhinolophidae,Rhinolophus
Rhinopithecus_roxellana,Rhinopithecus roxellana,ncbi_100_2014-11-18,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Rhinopithecus
Rousettus_aegyptiacus,Rousettus aegyptiacus,2,Mammalia,Laurasiatheria,Chiroptera,Pteropodidae,Rousettus
Saimiri_boliviensis,Saimiri boliviensis,goldenpath_saiBol1,Mammalia,Euarchontoglires,Primates,Cebidae,Saimiri
Sarcophilus_harrisii,Sarcophilus harrisii,goldenpath_sarHar1,Mammalia,Unclassified,Dasyuromorphia,Dasyuridae,Sarcophilus
Sorex_araneus,Sorex araneus,goldenpath_sorAra2,Mammalia,Laurasiatheria,Insectivora,Soricidae,Sorex
Stegastes_partitus,Stegastes partitus,1.0.2,Actinopteri,Unclassified,Unclassified,Pomacentridae,Stegastes
Struthio_camelus,Struthio camelus,bgi_2011-10-28,Aves,Palaeognathae,Struthioniformes,Struthionidae,Struthio
Sus_scrofa,Sus scrofa,goldenpath_susScr3,Mammalia,Laurasiatheria,Unclassified,Suidae,Sus
Taeniopygia_guttata,Taeniopygia guttata,goldenpath_taeGut2,Aves,Neognathae,Passeriformes,Estrildidae,Taeniopygia
Takifugu_rubripes,Takifugu rubripes,FUGU4,Actinopteri,Unclassified,Tetraodontiformes,Tetraodontidae,Takifugu
Tarsius_syrichta,Tarsius syrichta,goldenpath_tarSyr1,Mammalia,Euarchontoglires,Primates,Tarsiidae,Tarsius
Tauraco_erythrolophus,Tauraco erythrolophus,bgi_2011-10-28,Aves,Neognathae,Musophagiformes,Musophagidae,Tauraco
Tetraodon_nigroviridis,Tetraodon nigroviridis,TETRAODON8,Actinopteri,Unclassified,Tetraodontiformes,Tetraodontidae,Tetraodon
Thamnophis_sirtalis,Thamnophis sirtalis,6,Unclassified,Lepidosauria,Squamata,Colubridae,Thamnophis
Tinamus_guttatus,Tinamus guttatus,bgi_2011-10-28,Aves,Palaeognathae,Tinamiformes,Tinamidae,Tinamus
Trichechus_manatus,Trichechus manatus,goldenpath_triMan1,Mammalia,Afrotheria,Sirenia,Trichechidae,Trichechus
Triturus_carnifex,Triturus carnifex,sung_2016,Amphibia,Batrachia,Caudata,Salamandridae,Triturus
Tupaia_belangeri,Tupaia belangeri,goldenpath_tupBel1,Mammalia,Euarchontoglires,Scandentia,Tupaiidae,Tupaia
Tursiops_truncatus,Tursiops truncatus,goldenpath_turTru2,Mammalia,Laurasiatheria,Cetacea,Delphinidae,Tursiops
Tyto_alba,Tyto alba,bgi_2011-10-28,Aves,Neognathae,Strigiformes,Tytonidae,Tyto
Ursus_maritimus,Ursus maritimus,GAJD01_1.0_june_2013,Mammalia,Laurasiatheria,Carnivora,Ursidae,Ursus
Vicugna_pacos,Vicugna pacos,goldenpath_vicPac2,Mammalia,Laurasiatheria,Unclassified,Camelidae,Vicugna
Xenopus_tropicalis,Xenopus tropicalis,v7_2015-06-19,Amphibia,Batrachia,Anura,Pipidae,Xenopus
Xiphophorus_maculatus,Xiphophorus maculatus,ncbi_100_2013,Actinopteri,Atherinomorphae,Cyprinodontiformes,Poeciliidae,Xiphophorus
Zonotrichia_albicollis,Zonotrichia albicollis,1.0.1,Aves,Neognathae,Passeriformes,Passerellidae,Zonotrichia
Condylura_cristata,Condylura cristata,broad_ConCri1.0,Mammalia,Laurasiatheria,Insectivora,Talpidae,Condylura
Camelus_dromedarius,Camelus dromedarius,ncbi_GCF_000767585_2015-05-14,Mammalia,Laurasiatheria,Unclassified,Camelidae,Camelus
Camelus_bactrianus,Camelus bactrianus,MBC_1.0,Mammalia,Laurasiatheria,Unclassified,Camelidae,Camelus
Bos_mutus,Bos mutus,v2.0,Mammalia,Laurasiatheria,Unclassified,Bovidae,Bos
Macaca_nemestrina,Macaca nemestrina,Mnem_1.0,Mammalia,Euarchontoglires,Primates,Cercopithecidae,Macaca
Marmota_marmota_marmota,Marmota marmota marmota,marMar2.1,Mammalia,Euarchontoglires,Rodentia,Sciuridae,Marmota
Poecilia_latipinna,Poecilia latipinna,v1.0,Actinopteri,Atherinomorphae,Cyprinodontiformes,Poeciliidae,Poecilia
Poecilia_mexicana,Poecilia mexicana,v1.0,Actinopteri,Atherinomorphae,Cyprinodontiformes,Poeciliidae,Poecilia
Poecilia_reticulata,Poecilia reticulata,v1.0,Actinopteri,Atherinomorphae,Cyprinodontiformes,Poeciliidae,Poecilia
Salmo_salar,Salmo salar,ICASG_v2,Actinopteri,Unclassified,Salmoniformes,Salmonidae,Salmo
Sinocyclocheilus_grahami,Sinocyclocheilus grahami,v1.1,Actinopteri,Cypriniphysae,Cypriniformes,Cyprinidae,Sinocyclocheilus
Miniopterus_natalensis,Miniopterus natalensis,Mnat.v1,Mammalia,Laurasiatheria,Chiroptera,Vespertilionidae,Miniopterus
Pantholops_hodgsonii,Pantholops hodgsonii,PHO1.0,Mammalia,Laurasiatheria,Unclassified,Bovidae,Pantholops
Physeter_catodon,Physeter catodon,2.0.2,Mammalia,Laurasiatheria,Cetacea,Physeteridae,Physeter
Nestor_notabilis,Nestor notabilis,bgi_2011-10-28,Aves,Neognathae,Psittaciformes,Psittacidae,Nestor
Apodemus_sylvaticus,Apodemus sylvaticus,GCA_001305905.1,Mammalia,Euarchontoglires,Rodentia,Muridae,Apodemus
Capra_aegagrus,Capra aegagrus,CapAeg_1.0,Mammalia,Laurasiatheria,Unclassified,Bovidae,Capra
Capreolus_capreolus,Capreolus capreolus,kmer631,Mammalia,Laurasiatheria,Unclassified,Cervidae,Capreolus
Cebus_capucinus,Cebus capucinus,Cebus_imitator-1.0,Mammalia,Euarchontoglires,Primates,Cebidae,Cebus
Eulemur_macaco,Eulemur macaco,Emacaco_refEf,Mammalia,Euarchontoglires,Primates,Lemuridae,Eulemur
Manis_pentadactyla,Manis pentadactyla,GCA_000738955.1,Mammalia,Laurasiatheria,Pholidota,Manidae,Manis
Mus_caroli,Mus caroli,REL-1509_EiJ,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
Mus_castaneus,Mus castaneus,REL-1509-EiJ,Mammalia,Euarchontoglires,Rodentia,Muridae,Mus
