sequenceID	locus_name	locus_numeric_id	stem	host_species	host_class	host_superorder	host_order	host_family	host_genus	organism	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_gene	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	sequence_length	virus_genus	locus_structure
dependo.1-Delphinapterus_leucas	dependo.1-whippomorpha	1	dependo.1	Delphinapterus_leucas	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Delphinapterus	Delphinapterus_leucas	low_coverage	ASM228892v2	GCF_002288925.1_ASM228892v2_genomic.fna	NW_019160921.1	-	9149141	9153246	translated-genome	779	1013	2606	3313	236	476	94.915	0	1	1	0	4106	Dependoparvovirus	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-NS[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]
dependo.1-Ziphius_cavirostris	dependo.1-whippomorpha	1	dependo.1	Ziphius_cavirostris	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Ziphius	Ziphius_cavirostris	low_coverage	ZipCav_v1_BIUU	GCA_004364475.1_ZipCav_v1_BIUU_genomic.fna	RJWS010040757.1	+	4474	8537	translated-genome	779	1013	2526	3233	236	473	94.068	0	1	1	0	4064	Dependoparvovirus	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]
dependo.1-Monodon_monoceros	dependo.1-whippomorpha	1	dependo.1	Monodon_monoceros	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Monodon	Monodon_monoceros	low_coverage	NGI_Narwhal_1	GCA_005190385.2_NGI_Narwhal_1_genomic.fna	SIHG01006968.1	+	77665785	77669894	translated-genome	779	1013	2607	3314	236	472	93.644	0	1	1	0	4110	Dependoparvovirus	Rep78[dependo.XX-Inia(+)]-NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]
dependo.1-Monodon_monoceros	dependo.1-whippomorpha	1	dependo.1	Monodon_monoceros	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Monodon	Monodon_monoceros	low_coverage	MonMon_v1	GCA_004027045.1_MonMon_v1_BIUU_genomic.fna	PVJF01006520.1	-	67783	71892	translated-genome	779	1013	2607	3314	236	472	93.644	0	1	1	0	4110	Dependoparvovirus	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-NS[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]
dependo.1-Orcinus_orca	dependo.1-whippomorpha	1	dependo.1	Orcinus_orca	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Orcinus	Orcinus_orca	low_coverage	ncbi_ANOL02_jan_2013	ANOL02.fasta_13.fa	gi|442705876|gb|ANOL02028540.1|	+	31875	36047	translated-genome	779	1012	2647	3351	235	467	93.617	0	1	1	0	4173	Dependoparvovirus	Rep78[dependo.XX-Inia(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]
dependo.1-Tursiops_aduncus	dependo.1-whippomorpha	1	dependo.1	Tursiops_aduncus	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Tursiops	Tursiops_aduncus	low_coverage	ASM322739v1	GCA_003227395.1_ASM322739v1_genomic.fna	NCQN01000043.1	+	1187016	1191115	translated-genome	779	1012	2587	3291	235	467	93.617	0	1	1	0	4100	Dependoparvovirus	Rep78[dependo.XX-Inia(+)]-Rep78[dependo.XX-Inia(+)]-VP[dependo.1-whippomorpha(+)]
dependo.1-Tursiops_truncatus	dependo.1-whippomorpha	1	dependo.1	Tursiops_truncatus	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Tursiops	Tursiops_truncatus	low_coverage	goldenpath_turTru2	turTru2.fa	JH472581	-	124623	128768	translated-genome	779	1012	2636	3340	235	466	93.617	0	1	1	0	4146	Dependoparvovirus	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]
dependo.1-Globicephala_melas	dependo.1-whippomorpha	1	dependo.1	Globicephala_melas	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Globicephala	Globicephala_melas	low_coverage	ASM654740v1	GCA_006547405.1_ASM654740v1_genomic.fna	ML658845.1	+	2545456	2549517	translated-genome	779	1012	2556	3260	235	466	93.617	0	1	1	0	4062	Dependoparvovirus	Rep78[dependo.XX-Inia(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]
dependo.1-Phocoena_phocoena	dependo.1-whippomorpha	1	dependo.1	Phocoena_phocoena	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Phocoena	Phocoena_phocoena	low_coverage	GCA_003071005	GCA_003071005.1_ASM307100v1_genomic.fna	PKGA01132905.1	+	1807844	1811316	translated-genome	779	1012	1986	2690	235	465	93.191	0	1	1	0	3473	Dependoparvovirus	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]
dependo.1-Mesoplodon_bidens	dependo.1-whippomorpha	1	dependo.1	Mesoplodon_bidens	Mammalia	Laurasiatheria	Cetacea	Ziphiidae	Mesoplodon	Mesoplodon_bidens	low_coverage	MesBid_v1	GCA_004027085.1_MesBid_v1_BIUU_genomic.fna	PVJJ010002729.1	+	36995	41087	translated-genome	601	1013	1978	3225	429	464	61.072	1.97	143	7	0	4093	Dependoparvovirus	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]
dependo.1-Inia_geoffrensis	dependo.1-whippomorpha	1	dependo.1	Inia_geoffrensis	Mammalia	Laurasiatheria	Cetacea	Iniidae	Inia	Inia_geoffrensis	low_coverage	IniGeo_v1_BIUU	GCA_004363515.1_IniGeo_v1_BIUU_genomic.fna	RJWO010002031.1	-	86509	90690	translated-genome	779	1013	2685	3392	236	462	93.22	1.44	179	1	0	4182	Dependoparvovirus	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]
dependo.1-Neophocaena_asiaeorientalis	dependo.1-whippomorpha	1	dependo.1	Neophocaena_asiaeorientalis	Mammalia	Laurasiatheria	Cetacea	Phocoenidae	Neophocaena	Neophocaena_asiaeorientalis	low_coverage	V1	GCF_003031525.1_Neophocaena_asiaeorientalis_V1_genomic.fna	NW_020175027.1	+	3229818	3233759	translated-genome	162	411	540	1325	272	305	63.603	5.18	139	5	0	3942	Dependoparvovirus	NS[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]-VP[dependo.1-whippomorpha(+)]
dependo.1-Lagenorhynchus_obliquidens	dependo.1-whippomorpha	1	dependo.1	Lagenorhynchus_obliquidens	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Lagenorhynchus	Lagenorhynchus_obliquidens	low_coverage	ASM367639v1	GCF_003676395.1_ASM367639v1_genomic.fna	NW_020837951.1	-	35652981	35657093	translated-genome	892	1012	2938	3303	122	239	92.623	0	1	1	0	4113	Dependoparvovirus	VP[dependo.1-whippomorpha(-)]-VP[dependo.1-whippomorpha(-)]-Rep78[dependo.XX-Inia(-)]-Rep78[dependo.XX-Inia(-)]
dependo.1-Hippopotamus_amphibius	dependo.1-whippomorpha	1	dependo.1	Hippopotamus_amphibius	Mammalia	Laurasiatheria	Unclassified	Hippopotamidae	Hippopotamus	Hippopotamus_amphibius	low_coverage	ASM299558v1	GCA_002995585.1_ASM299558v1_genomic.fna	NKPW01001970.1	-	58998	62816	translated-genome	1039	1201	2918	3406	163	227	66.871	0	1	0	0	3819	Dependoparvovirus	VP[dependo.1-whippomorpha(-)]-VP[dependo.XX-hippopotammus(-)]-NS[dependo.1-whippomorpha(-)]
dependo.2-Eptesicus_fuscus	dependo.2-vespertilionidae	2	dependo.2	Eptesicus_fuscus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Eptesicus	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_17.fa	gi|411115880|gb|JH977683.1|	+	1718232	1722570	translated-genome	1	995	4	2988	1042	1035	59.213	0	1	17	0	4339	Dependoparvovirus	NS[dependo.2-vespertilionidae(+)]
dependo.2-Lasiurus_borealis	dependo.2-vespertilionidae	2	dependo.2	Lasiurus_borealis	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Lasiurus	Lasiurus_borealis	low_coverage	LasBor_v1	GCA_004026805.1_LasBor_v1_BIUU_genomic.fna	PVJN01009107.1	+	7645	12178	translated-genome	105	673	302	2005	579	837	75.648	0	1	6	0	4534	Dependoparvovirus	NS[dependo.2-vespertilionidae(+)]-VP[dependo.2-vespertilionidae(+)]-VP[dependo.2-vespertilionidae(+)]
dependo.2-Myotis_brandtii	dependo.2-vespertilionidae	2	dependo.2	Myotis_brandtii	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Myotis_brandtii	low_coverage	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	gi|549497831|ref|NW_005366109.1|	-	2423423	2427771	translated-genome	227	649	695	1960	426	698	82.394	0	1	3	0	4349	Dependoparvovirus	NS[dependo.2-vespertilionidae(-)]
dependo.2-Murina_aurata_feae	dependo.2-vespertilionidae	2	dependo.2	Murina_aurata_feae	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Murina	Murina_aurata_feae	low_coverage	MurFea_v1	GCA_004026665.1_MurFea_v1_BIUU_genomic.fna	PVJC01011345.1	+	28905	33400	translated-genome	227	646	910	2139	421	638	76.01	0	1	3	0	4496	Dependoparvovirus	NS[dependo.2-vespertilionidae(+)]-VP[dependo.2-vespertilionidae(+)]
dependo.2-Myotis_lucifugus	dependo.2-vespertilionidae	2	dependo.2	Myotis_lucifugus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Myotis_lucifugus	low_coverage	goldenpath_myoLuc2	myoLuc2.fa	GL430312	-	465565	469844	translated-genome	378	656	1145	1981	279	556	94.265	0	1	0	0	4280	Dependoparvovirus	NS[dependo.2-vespertilionidae(-)]
dependo.2-Antrozous_pallidus	dependo.2-vespertilionidae	2	dependo.2	Antrozous_pallidus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Antrozous	Antrozous_pallidus	low_coverage	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	VMDP01009643.1	+	23666	27986	translated-genome	416	889	1252	2667	482	534	63.693	0	1	4	0	4321	Dependoparvovirus	NS[dependo.2-vespertilionidae(+)]-VP[dependo.2-vespertilionidae(+)]
dependo.2-Myotis_davidii	dependo.2-vespertilionidae	2	dependo.2	Myotis_davidii	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Myotis	Myotis_davidii	low_coverage	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_25.fa	gi|432086621|gb|KB116268.1|	+	746140	750699	translated-genome	395	656	1480	2265	262	494	90.458	0	1	0	0	4560	Dependoparvovirus	VP[dependo.2-vespertilionidae(+)]
dependo.2-Pipistrellus_pipistrellus	dependo.2-vespertilionidae	2	dependo.2	Pipistrellus_pipistrellus	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus_pipistrellus	low_coverage	PipPip_v1	GCA_004026625.1_PipPip_v1_BIUU_genomic.fna	PVIQ01043641.1	-	4900	8313	translated-genome	289	625	13	1011	363	390	61.157	9.49	119	7	0	3414	Dependoparvovirus	NS[dependo.2-vespertilionidae(-)]
dependo.2-Nycticeius_humeralis	dependo.2-vespertilionidae	2	dependo.2	Nycticeius_humeralis	Mammalia	Laurasiatheria	Chiroptera	Vespertilionidae	Nycticeius	Nycticeius_humeralis	low_coverage	NycHum_v1_BIUU	GCA_007922795.1_NycHum_v1_BIUU_genomic.fna	VMDQ010050549.1	-	2939	5799	translated-genome	227	410	682	1239	186	259	73.118	1.15	168	1	0	2861	Dependoparvovirus	NS[dependo.2-vespertilionidae(-)]
dependo.3-Lepus_timidus	dependo.3-lagomorpha	3	dependo.3	Lepus_timidus	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus	Lepus_timidus	low_coverage	GCA_009760805	GCA_009760805.1_CIBIO-ISEM_LeTim_1.1_genomic.fna	CM019678.1	-	6041389	6044512	translated-genome	25	699	463	2505	710	1023	79.859	0	1	10	0	3124	Dependoparvovirus	NS[dependo.3-lagomorpha(-)]
dependo.3-Lepus_americanus	dependo.3-lagomorpha	3	dependo.3	Lepus_americanus	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Lepus	Lepus_americanus	low_coverage	LepAme_v1_BIUU	GCA_004026855.1_LepAme_v1_BIUU_genomic.fna	PVJM010047690.1	+	2374	5500	translated-genome	25	699	460	2508	725	961	76.966	0	1	12	0	3127	Dependoparvovirus	NS[dependo.3-lagomorpha(+)]
dependo.3-Oryctolagus_cuniculus	dependo.3-lagomorpha	3	dependo.3	Oryctolagus_cuniculus	Mammalia	Euarchontoglires	Lagomorpha	Leporidae	Oryctolagus	Oryctolagus_cuniculus	complete	goldenpath_oryCun2	oryCun2.fa	chr10	-	8292094	8295947	translated-genome	25	488	436	1848	481	697	77.131	0	1	7	0	3854	Dependoparvovirus	VP[REF_Dependo_AAV5(-)]-NS[dependo.3-lagomorpha(-)]
dependo.3-Ochotona_princeps	dependo.3-lagomorpha	3	dependo.3	Ochotona_princeps	Mammalia	Euarchontoglires	Lagomorpha	Ochotonidae	Ochotona	Ochotona_princeps	complete	goldenpath_ochPri3	ochPri3.fa_2.fa	JH802073	+	30948507	30949100	translated-genome	80	282	1	588	214	119	42.523	3.74	33	5	0	594	Dependoparvovirus	NS[dependo.3-lagomorpha(+)]
dependo.4-Dicerorhinus_sumatrensis	dependo.4-rhinocerotidae	4	dependo.4	Dicerorhinus_sumatrensis_sumatrensis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Dicerorhinus	Dicerorhinus_sumatrensis_sumatrensis	low_coverage	ASM284483v1	GCA_002844835.1_ASM284483v1_genomic.fna	PEKH010002164.1	+	1427337	1431241	translated-genome	780	1331	2244	3905	562	902	82.028	0	1	7	0	3905	Dependoparvovirus	NS[dependo.4-rhinocerotidae(+)]-VP[dependo.4-rhinocerotidae(+)]
dependo.4-Diceros_bicornis	dependo.4-rhinocerotidae	4	dependo.4	Diceros_bicornis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Diceros	Diceros_bicornis	low_coverage	DicBicMic_v1_BIUU	GCA_004027315.1_DicBicMic_v1_BIUU_genomic.fna	PVJY010006244.1	-	98986	102929	translated-genome	1004	1331	2958	3944	329	667	96.657	0	1	1	0	3944	Dependoparvovirus	VP[dependo.4-rhinocerotidae(-)]-NS[dependo.4-rhinocerotidae(-)]
dependo.4-Ceratotherium_simum	dependo.4-rhinocerotidae	4	dependo.4	Ceratotherium_simum	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	Ceratotherium_simum	low_coverage	goldenpath_cerSim1	cerSim1.fa	JH767777	+	15364994	15369034	translated-genome	1004	1207	3056	3673	208	379	87.981	0	1	2	0	4041	Dependoparvovirus	NS[dependo.4-rhinocerotidae(+)]-VP[dependo.4-rhinocerotidae(+)]
dependo.5-Dicerorhinus_sumatrensis	dependo.5-rhinocerotidae	5	dependo.5	Dicerorhinus_sumatrensis_sumatrensis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Dicerorhinus	Dicerorhinus_sumatrensis_sumatrensis	low_coverage	ASM284483v1	GCA_002844835.1_ASM284483v1_genomic.fna	PEKH010003201.1	-	47712	48035	VP	1	93	43	321	93	192	97.849	2.98	67	0	0	324	Dependoparvovirus	VP[dependo.5-rhinocerotidae(-)]
dependo.5-Ceratotherium_simum	dependo.5-rhinocerotidae	5	dependo.5	Ceratotherium_simum	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium	Ceratotherium_simum	low_coverage	goldenpath_cerSim1	cerSim1.fa	JH767727	-	28719851	28720174	VP	2	93	46	321	92	176	92.391	5.36	61	0	0	324	Dependoparvovirus	VP[dependo.5-rhinocerotidae(-)]
dependo.5-Diceros_bicornis	dependo.5-rhinocerotidae	5	dependo.5	Diceros_bicornis	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Diceros	Diceros_bicornis	low_coverage	DicBicMic_v1_BIUU	GCA_004027315.1_DicBicMic_v1_BIUU_genomic.fna	PVJY010007373.1	-	53378	53752	VP	2	93	97	372	92	175	91.304	2.86	60	0	0	375	Dependoparvovirus	VP[dependo.5-rhinocerotidae(-)]
dependo.6-Loxodonta_africana	dependo.6-elephas	6	dependo.6	Loxodonta_africana	Mammalia	Afrotheria	Proboscidea	Elephantidae	Loxodonta	Loxodonta_africana	complete	goldenpath_loxAfr3	loxAfr3.fa	scaffold_4	+	61369363	61371114	Rep	1	584	1	1752	584	1207	98.459	0	1	0	0	1752	Dependoparvovirus	NS[dependo.6-elephantidae(+)]
dependo.8-Dasypus_novemcinctus	dependo.8-dasypus	8	dependo.8	Dasypus_novemcinctus	Mammalia	Xenarthra	Cingulata	Dasypodidae	Dasypus	Dasypus_novemcinctus	complete	goldenpath_dasNov3	dasNov3.fa	JH575770	-	698573	699295	VP	1	191	28	600	191	398	99.476	1.03	144	0	0	723	Dependoparvovirus	VP[dependo.8-dasypus(-)]
dependo.9-Procavia_capensis	dependo.9-hyracoidea	9	dependo.9	Procavia_capensis	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Procavia	Procavia_capensis	low_coverage	goldenpath_proCap1	proCap1.fa	scaffold_19252	-	22396	23364	Rep	1	243	43	777	245	460	99.184	1.49	167	1	0	969	Dependoparvovirus	NS[dependo.9-procavia(-)]
dependo.9-Heterohyrax_brucei	dependo.9-hyracoidea	9	dependo.9	Heterohyrax_brucei	Mammalia	Afrotheria	Hyracoidea	Procaviidae	Heterohyrax	Heterohyrax_brucei	low_coverage	HetBruBak_v1_BIUU	GCA_004026845.1_HetBruBak_v1_BIUU_genomic.fna	PVJQ01008376.1	+	40240	42031	Rep	1	243	43	777	245	433	93.878	1.18	152	1	0	1792	Dependoparvovirus	NS[dependo.9-procavia(+)]
dependo.12-Orycteropus_afer	dependo.12-orycteropus	12	dependo.12	Orycteropus_afer	Mammalia	Afrotheria	Tubulidentata	Orycteropodidae	Orycteropus	Orycteropus_afer	low_coverage	broad_v0_2012	O_afer_v0.assembly.fa	scaffold00268	+	4835582	4838424	translated-genome	1	592	1	1794	630	699	67.937	0	1	13	0	2843	Dependoparvovirus	Rep78-VP[dependo.XX-Orycteropus(+)]
dependo.13-Cercocebus_atys	dependo.13-cercopithecidae	13	dependo.13	Cercocebus_atys	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Cercocebus_atys	low_coverage	ncbi_100_2015	9531_ref_Caty_1.0_chrUn.fa	gi|778128673|ref|NW_012004166.1|	-	1691316	1693695	translated-genome	1	615	1	1845	615	1255	97.236	0	1	0	0	2380	Dependoparvovirus	NS[dependo.13-cercopithecidae(-)]
dependo.13-Papio_anubis	dependo.13-cercopithecidae	13	dependo.13	Papio_anubis	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Papio	Papio_anubis	low_coverage	goldenpath_papAnu2	papAnu2.fa_3.fa	chr3	+	14387629	14390008	translated-genome	1	615	1	1845	615	1244	97.886	0	1	0	0	2380	Dependoparvovirus	NS[dependo.13-cercopithecidae(+)]
dependo.13-Theropithecus_gelada	dependo.13-cercopithecidae	13	dependo.13	Theropithecus_gelada	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Theropithecus	Theropithecus_gelada	low_coverage	Tgel_1.0	GCF_003255815.1_Tgel_1.0_genomic.fna	NC_037670.1	+	30672747	30675126	translated-genome	1	599	1	1797	599	1230	97.663	0	1	0	0	2380	Dependoparvovirus	NS[dependo.13-cercopithecidae(+)]
dependo.14-Mandrillus_sphinx	dependo.14-cercopithecidae	14	dependo.14	Mandrillus_sphinx	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	Mandrillus_sphinx	low_coverage	BGI_mandrill_1.0	GCA_004802615.1_BGI_mandrill_1.0_genomic.fna	SRPC01038205.1	-	29298	30683	Rep	1	453	1	1359	453	929	98.013	0	1	0	0	1386	Dependoparvovirus	NS[dependo.14-cercopithecidae(-)]
dependo.14-Mandrillus_leucophaeus	dependo.14-cercopithecidae	14	dependo.14	Mandrillus_leucophaeus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Mandrillus	Mandrillus_leucophaeus	low_coverage	Mleu.le_1.0	9568_ref_Mleu.le_1.0_chrUn.fa	gi|786094026|ref|NW_012100098.1|	+	1005873	1007258	Rep	1	453	1	1359	453	926	97.792	0	1	0	0	1386	Dependoparvovirus	NS[dependo.14-cercopithecidae(+)]
dependo.14-Cercocebus_atys	dependo.14-cercopithecidae	14	dependo.14	Cercocebus_atys	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Cercocebus	Cercocebus_atys	low_coverage	ncbi_100_2015	9531_ref_Caty_1.0_chrUn.fa	gi|778117074|ref|NW_012006154.1|	+	2894065	2895450	Rep	1	453	1	1359	453	914	96.689	0	1	0	0	1386	Dependoparvovirus	NS[dependo.14-cercopithecidae(+)]
dependo.14-Papio_anubis	dependo.14-cercopithecidae	14	dependo.14	Papio_anubis	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Papio	Papio_anubis	low_coverage	goldenpath_papAnu2	papAnu2.fa_1.fa	chr11	-	48228901	48230286	Rep	1	453	1	1359	453	890	94.481	0	1	0	0	1386	Dependoparvovirus	NS[dependo.14-cercopithecidae(-)]
dependo.14-Erythrocebus_patas	dependo.14-cercopithecidae	14	dependo.14	Erythrocebus_patas	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Erythrocebus	Erythrocebus_patas	low_coverage	EryPat_v1	GCA_004027335.1_EryPat_v1_BIUU_genomic.fna	PVJV010078729.1	-	3740	4492	Rep	1	251	1	753	251	450	85.657	2.23	161	0	0	753	Dependoparvovirus	NS[dependo.160-Erythrocebus_patas(-)]
