sequenceID	locus_name	locus_numeric_id	stem	host_species	sequence_length	Record_ID	host_class	host_superorder	host_order	host_family	host_genus	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	assigned_gene	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	locus_structure
proto.107-Myocastor_coypus	proto.107-MyoCoy	107	proto.107	Myocastor_coypus	3964	26	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010043233.1	+	8551	12514	translated-genome	391	918	1953	3572	540	811	76.481	0	1	6	0	NS[proto.139-Myocastor(+)]-VP[proto.107-Hydrochoerus(+)]-VP[proto.107-Hydrochoerus(+)]
proto.108-Dinomys_branickii	proto.108-Rodentia	108	proto.108	Dinomys_branickii	4156	46	Mammalia	Euarchontoglires	Rodentia	Dinomyidae	Dinomys	low_coverage	DinBra_v1	GCA_004027595.1_DinBra_v1_BIUU_genomic.fna	PVLD010013231.1	+	21112	25267	translated-genome	1	1107	268	3573	1115	1737	78.655	0	1	7	0	NS[proto.108-Dinomys(+)]-VP[proto.108-Dinomys(+)]-VP[proto.108-Dinomys(+)]
proto.108-Hydrochoerus_hydrochaeris	proto.108-Rodentia	108	proto.108	Hydrochoerus_hydrochaeris	4236	9	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	low_coverage	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01004051.1	+	62864	67099	translated-genome	1	1289	352	4233	1315	1675	65.779	0	1	13	0	NS[proto.139-Myocastor(+)]-VP[proto.107-Hydrochoerus(+)]
proto.108-Chinchilla_lanigera	proto.108-Rodentia	108	proto.108	Chinchilla_lanigera	4216	16	Mammalia	Euarchontoglires	Rodentia	Chinchillidae	Chinchilla	low_coverage	broad_v0_2012	C_lanigera_v0.assembly.fasta_12.fa	scaffold00033	-	14636987	14641202	translated-genome	90	1255	638	4204	1215	1602	68.889	0	1	10	0	VP[proto.108-Dinomys(-)]-NS[proto.108-Dinomys(-)]
proto.108-Cuniculus_paca	proto.108-Rodentia	108	proto.108	Cuniculus_paca	1416	2	Mammalia	Euarchontoglires	Rodentia	Cuniculidae	Cuniculus	low_coverage	CunPac_v1_BIUU	GCA_004365215.1_CunPac_v1_BIUU_genomic.fna	RJWT010283486.1	+	521	1936	translated-genome	592	1064	1	1416	475	663	74.947	0	1	4	0	VP[proto.108-Dinomys(+)]
proto.108-Chinchilla_lanigera	proto.108-Rodentia	108	proto.108	Chinchilla_lanigera	3819	16	Mammalia	Euarchontoglires	Rodentia	Chinchillidae	Chinchilla	low_coverage	broad_v0_2012	C_lanigera_v0.assembly.fasta_24.fa	scaffold00132	-	459274	463092	translated-genome	160	501	272	1297	342	519	70.76	0	1	0	0	VP[proto.108-Dinomys(-)]-VP[proto.121-Cavia(-)]-VP[proto.141-Erethizon(-)]-NS[proto.108-Dinomys(-)]
proto.108-Cuniculus_paca	proto.108-Rodentia	108	proto.108	Cuniculus_paca	1181	2	Mammalia	Euarchontoglires	Rodentia	Cuniculidae	Cuniculus	low_coverage	CunPac_v1_BIUU	GCA_004365215.1_CunPac_v1_BIUU_genomic.fna	RJWT010086281.1	+	5528	6708	translated-genome	209	430	423	1088	222	399	85.586	4.61	164	0	0	NS[proto.108-Dinomys(+)]
proto.108-Hydrochoerus_hydrochaeris	proto.108-Rodentia	108	proto.108	Hydrochoerus_hydrochaeris	1716	9	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	low_coverage	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01035332.1	+	433	2148	translated-genome	3	250	286	1071	265	212	38.113	2.46	121	2	0	NS[proto.152.Sarcophilus(+)]
proto.108-Dolichotis_patagonum	proto.108-Rodentia	108	proto.108	Dolichotis_patagonum	1326	10	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010057708.1	+	6794	8119	translated-genome	57	457	73	1326	430	197	28.837	6.69	57	8	0	NS[proto.108-Dinomys(+)]
proto.108-Capromys_pilorides	proto.108-Rodentia	108	proto.108	Capromys_pilorides	222	147	Mammalia	Euarchontoglires	Rodentia	Capromyidae	Capromys	low_coverage	CapPil_v1_BIUU	GCA_004027915.1_CapPil_v1_BIUU_genomic.fna	PVKN010461124.1	-	1105	1326	translated-genome	403	476	1	222	74	125	77.027	2.01	37	0	0	NS[proto.108-Dinomys(-)]
proto.120-Cavia_tschudii	proto.120-Cavia	120	proto.120	Cavia_tschudii	407	96	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	low_coverage	CavTsc_v1_BIUU	GCA_004027695.1_CavTsc_v1_BIUU_genomic.fna	PVKK010010067.1	-	14783	15189	translated-genome	60	121	4	189	62	129	100	2.25	58	0	0	NS[proto.120-Cavia(-)]
proto.120-Cavia_porcellus	proto.120-Cavia	120	proto.120	Cavia_porcellus	407	117	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	low_coverage	goldenpath_cavPor3	cavPor3.fa	scaffold_188	+	79733	80139	translated-genome	60	121	4	189	62	129	100	2.25	58	0	0	NS[proto.120-Cavia(+)]
proto.120-Cavia_aperea	proto.120-Cavia	120	proto.120	Cavia_aperea	404	11	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	low_coverage	CavAp1.0	GCA_000688575.1_CavAp1.0_genomic.fna	AVPZ01000098.1	+	79610	80013	translated-genome	60	121	1	186	62	121	93.548	3.48	53	0	0	NS[proto.121-Cavia(+)]
proto.122-Cavia_porcellus	proto.122-Cavia	122	proto.122	Cavia_porcellus	1442	117	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	low_coverage	goldenpath_cavPor3	cavPor3.fa	scaffold_27	+	12833391	12834832	translated-genome	7	263	1	771	257	531	100	0	1	0	0	NS[proto.122-Cavia(+)]-NS[proto.122-Cavia(+)]
proto.122-Cavia_tschudii	proto.122-Cavia	122	proto.122	Cavia_tschudii	1443	96	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	low_coverage	CavTsc_v1_BIUU	GCA_004027695.1_CavTsc_v1_BIUU_genomic.fna	PVKK010020645.1	+	29241	30683	translated-genome	7	263	1	771	257	529	99.611	0	1	0	0	NS[proto.122-Cavia(+)]
proto.122-Cavia_porcellus	proto.122-Cavia	122	proto.122	Cavia_porcellus	1986	117	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia	low_coverage	goldenpath_cavPor3	cavPor3.fa	scaffold_27	+	12841261	12843246	translated-genome	673	850	1	540	183	283	91.257	0	1	3	0	VP[proto.122-Cavia(+)]-VP[proto.122-Cavia(+)]-VP[proto.122-Cavia(+)]
proto.125-Hydrochoerus_hydrochaeris	proto.125-HydHyd	125	proto.125	Hydrochoerus_hydrochaeris	3578	9	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	low_coverage	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01003077.1	+	123747	127324	translated-genome	480	883	1458	2678	417	702	89.209	0	1	4	0	NS[proto.125-Hydrochoerus(+)]-VP[proto.125-Hydrochoerus(+)]-VP[proto.125-Hydrochoerus(+)]
proto.126-Octodon_degus	proto.126-Octodontidae	126	proto.126	Octodon_degus	2904	61	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octodon	low_coverage	broad_1.0_july_2012	O_degus_v0.assembly.fasta_18.fa	scaffold00088	+	365906	368809	translated-genome	143	414	430	1257	278	474	85.971	0	1	4	0	NS[proto.126-Octodon(+)]-VP[proto.126-Octodon(+)]
proto.126-Octomys_mimax	proto.126-Octodontidae	126	proto.126	Octomys_mimax	1994	29	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octomys	low_coverage	Oct_mimax_AO248_v1	GCA_002564305.1_Oct_mimax_AO248_v1_genomic.fna	NDGM010602147.1	-	2831	4824	translated-genome	491	762	908	1741	290	288	59.655	0	1	7	0	VP[proto.126-Octodon(-)]-NS[proto.108-Dinomys(-)]
proto.127-Capromys_pilorides	proto.127-Capromys	127	proto.127	Capromys_pilorides	426	147	Mammalia	Euarchontoglires	Rodentia	Capromyidae	Capromys	low_coverage	CapPil_v1_BIUU	GCA_004027915.1_CapPil_v1_BIUU_genomic.fna	PVKN010306780.1	-	681	1106	translated-genome	559	699	1	423	141	225	79.433	3	71	0	0	VP[proto.127-Myocastor(-)]
proto.128-Capromys_pilorides	proto.128-Capromys	128	proto.128	Capromys_pilorides	3220	147	Mammalia	Euarchontoglires	Rodentia	Capromyidae	Capromys	low_coverage	CapPil_v1_BIUU	GCA_004027915.1_CapPil_v1_BIUU_genomic.fna	PVKN010094820.1	+	1775	4994	translated-genome	230	1056	701	3217	843	1327	83.986	0	1	12	0	NS[proto.128-Capromys(+)]-VP[proto.128-Capromys(+)]
proto.129-Dinomys_branickii	proto.129-Dinomys	129	proto.129	Dinomys_branickii	3025	46	Mammalia	Euarchontoglires	Rodentia	Dinomyidae	Dinomys	low_coverage	DinBra_v1	GCA_004027595.1_DinBra_v1_BIUU_genomic.fna	PVLD010012564.1	-	30634	33658	translated-genome	1	537	1	1614	544	947	91.912	0	1	5	0	VP[proto.129-Dinomys(-)]-VP[proto.129-Dinomys(-)]-NS[proto.129-Dinomys(-)]
proto.130-Dinomys_branickii	proto.130-Dinomys	130	proto.130	Dinomys_branickii	3615	46	Mammalia	Euarchontoglires	Rodentia	Dinomyidae	Dinomys	low_coverage	DinBra_v1	GCA_004027595.1_DinBra_v1_BIUU_genomic.fna	PVLD010008199.1	-	43954	47568	translated-genome	244	544	739	1635	301	590	97.01	0	1	2	0	VP[proto.108-Dinomys(-)]-VP[proto.108-Dinomys(-)]-VP[proto.130-Dinomys(-)]-NS[proto.152.Sarcophilus(-)]
proto.131-Ctenomys_sociabilis	proto.131-Ctenomyidae	131	proto.131	Ctenomys_sociabilis	3386	27	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys	low_coverage	CteSoc_v1	GCA_004027165.1_CteSoc_v1_BIUU_genomic.fna	PVKA01055882.1	-	6101	9486	translated-genome	1	451	1	1359	453	858	98.896	0	1	2	0	VP[proto.131-Ctenomys(-)]-VP[proto.131-Ctenomys(-)]-VP[proto.131-Ctenomys(-)]-NS[proto.131-Ctenomys(-)]
proto.131-Capromys_pilorides	proto.131-Ctenomyidae	131	proto.131	Capromys_pilorides	4123	147	Mammalia	Euarchontoglires	Rodentia	Capromyidae	Capromys	low_coverage	CapPil_v1_BIUU	GCA_004027915.1_CapPil_v1_BIUU_genomic.fna	PVKN010056178.1	+	2057	6179	translated-genome	13	619	785	2611	613	823	70.962	0	1	7	0	NS[proto.139-Myocastor(+)]-VP[proto.131-Ctenomys(+)]-VP[proto.131-Ctenomys(+)]-VP[proto.131-Ctenomys(+)]
proto.132-Ctenomys_sociabilis	proto.131-Ctenomyidae	132	proto.132	Ctenomys_sociabilis	2705	27	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys	low_coverage	CteSoc_v1	GCA_004027165.1_CteSoc_v1_BIUU_genomic.fna	PVKA01004066.1	-	76945	79649	translated-genome	519	803	1836	2702	291	414	84.536	1.38	133	4	0	VP[proto.132-Ctenomys(-)]-NS[proto.132-Ctenomys(-)]
proto.133-Dolichotis_patagonum	proto.133-Dolichotis	133	proto.133	Dolichotis_patagonum	2969	10	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010006219.1	-	33039	36007	translated-genome	643	978	1947	2966	340	645	93.235	0	1	3	0	VP[proto.133-Dolichotis(-)]-VP[proto.133-Dolichotis(-)]-NS[proto.108-Dinomys(-)]
proto.134-Dolichotis_patagonum	proto.134-Dolichotis	134	proto.134	Dolichotis_patagonum	2279	10	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010000366.1	+	192130	194408	translated-genome	378	744	1170	2276	369	686	99.458	0	1	2	0	NS[proto.134-Dolichotis(+)]-VP[proto.134-Dolichotis(+)]-VP[proto.134-Dolichotis(+)]
proto.135-Octomys_mimax	proto.135-Octodontidae	135	proto.135	Octomys_mimax	2365	29	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octomys	low_coverage	Oct_mimax_AO248_v1	GCA_002564305.1_Oct_mimax_AO248_v1_genomic.fna	NDGM011158932.1	+	9501	11865	translated-genome	258	618	796	1959	392	381	63.01	0	1	8	0	NS[proto.135-Octomys(+)]-VP[proto.135-Octomys(+)]
proto.135-Octodon_degus	proto.135-Octodontidae	135	proto.135	Octodon_degus	1242	61	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octodon	low_coverage	broad_1.0_july_2012	O_degus_v0.assembly.fasta_21.fa	scaffold00109	-	3857172	3858413	translated-genome	105	201	360	650	97	192	91.753	1.69	176	0	0	VP[proto.135-Octomys(-)]-NS[proto.135-Octomys(-)]
proto.136-Octomys_mimax	proto.136-Octomys	136	proto.136	Octomys_mimax	2656	29	Mammalia	Euarchontoglires	Rodentia	Octodontidae	Octomys	low_coverage	Oct_mimax_AO248_v1	GCA_002564305.1_Oct_mimax_AO248_v1_genomic.fna	NDGM011100161.1	+	1718	4373	translated-genome	1	392	1	1182	395	710	92.152	0	1	3	0	NS[proto.136-Octomys(+)]-VP[proto.136-Octomys(+)]-VP[proto.136-Octomys(+)]
proto.137-Hydrochoerus_hydrochaeris	proto.137-Hydrochoerus	137	proto.137	Hydrochoerus_hydrochaeris	2179	9	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	low_coverage	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01017572.1	-	6756	8934	translated-genome	143	711	443	2176	582	833	77.32	0	1	9	0	VP[proto.137-Hydrochoerus(-)]-VP[proto.137-Hydrochoerus(-)]-NS[proto.137-Hydrochoerus(-)]
proto.138-Hydrochoerus_hydrochaeris	proto.138-Hydrochoerus	138	proto.138	Hydrochoerus_hydrochaeris	2362	9	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	low_coverage	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01001246.1	-	294975	297336	translated-genome	357	767	1076	2320	415	820	95.663	0	1	3	0	VP[proto.138-Hydrochoerus(-)]-NS[proto.138-Hydrochoerus(-)]
proto.139-Myocastor_coypus	proto.139-MyoCoy	139	proto.139	Myocastor_coypus	3730	26	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010049710.1	+	2600	6329	translated-genome	797	1228	2402	3709	449	702	80.846	0	1	7	0	NS[proto.139-Myocastor(+)]-VP[proto.139-Myocastor(+)]-VP[proto.139-Myocastor(+)]
proto.140-Myocastor_coypus	proto.140-MyoCoy	140	proto.140	Myocastor_coypus	2080	26	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010039851.1	-	8416	10495	translated-genome	410	682	1253	2077	275	555	99.273	0	1	2	0	VP[proto.140-Myocastor(-)]-VP[proto.140-Myocastor(-)]-VP[proto.140-Myocastor(-)]
proto.141-Erethizon_dorsatum	proto.141-Erethizon	141	proto.141	Erethizon_dorsatum	3923	131	Mammalia	Euarchontoglires	Rodentia	Erethizontidae	Erethizon	low_coverage	GSC_porc_1.0	GCA_006547115.1_GSC_porc_1.0_genomic.fna	ML655439.1	-	5637568	5641490	translated-genome	158	589	2607	3923	439	608	68.793	0	1	4	0	VP[proto.141-Erethizon(-)]-VP[proto.142-Cuniculus(-)]-NS[proto.139-Myocastor(-)]
proto.142-Erethizon_dorsatum	proto.142-Cuniculus	142	proto.142	Erethizon_dorsatum	4177	131	Mammalia	Euarchontoglires	Rodentia	Erethizontidae	Erethizon	low_coverage	GSC_porc_1.0	GCA_006547115.1_GSC_porc_1.0_genomic.fna	ML655384.1	-	11981851	11986027	translated-genome	212	550	1900	2934	345	429	63.188	0	1	3	0	VP[proto.143-Cuniculus(-)]-VP[proto.141-Erethizon(-)]-NS[proto.108-Dinomys(-)]
proto.143-Cuniculus_paca	proto.143-Cuniculus	143	proto.143	Cuniculus_paca	2103	2	Mammalia	Euarchontoglires	Rodentia	Cuniculidae	Cuniculus	low_coverage	CunPac_v1_BIUU	GCA_004365215.1_CunPac_v1_BIUU_genomic.fna	RJWT010093222.1	+	2226	4328	translated-genome	221	693	679	2103	475	941	99.579	0	1	2	0	VP[proto.143-Cuniculus(+)]-VP[proto.143-Cuniculus(+)]
proto.144-Myocastor_coypus	proto.144-MyoCoy	144	proto.144	Myocastor_coypus	4210	26	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010000900.1	+	58662	62871	translated-genome	2	482	1	1431	482	597	63.278	0	1	2	0	NS[proto.139-Myocastor(+)]-VP[proto.131-Ctenomys(+)]-VP[proto.121-Cavia(+)]-VP[proto.121-Cavia(+)]
proto.145-Ctenomys_sociabilis	proto.145-CteSoc	145	proto.145	Ctenomys_sociabilis	3295	27	Mammalia	Euarchontoglires	Rodentia	Ctenomyidae	Ctenomys	low_coverage	CteSoc_v1	GCA_004027165.1_CteSoc_v1_BIUU_genomic.fna	PVKA01027559.1	+	22152	25446	translated-genome	4	567	103	1806	572	705	69.231	0	1	9	0	NS[proto.136-Octomys(+)]-VP[proto.121-Cavia(+)]-VP[proto.143-Cuniculus(+)]
proto.150-Gymnobelideus_leadbeateri	proto.150-Gymnobelideus	150	proto.150	Gymnobelideus_leadbeateri	3965	56	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus	low_coverage	LBP_v1_scaffolds	GCA_011680675.1_LBP_v1_genomic.fna	WOXC01011675.1	-	104428	108392	translated-genome	174	548	552	1691	385	574	80.26	0	1	5	0	VP[proto.150.Gymnobelideus(-)]-VP[proto.150.Gymnobelideus(-)]-NS[proto.150.Gymnobelideus(-)]
proto.151-Macropus_eugenii	proto.151-diprodontia	151	proto.151	Macropus_eugenii	3263	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL116559	+	15981	19243	translated-genome	843	1074	2565	3260	232	458	100	0	1	0	0	NS[proto.151.Macropus(+)]-VP[proto.151.Macropus(+)]-VP[proto.151.Macropus(+)]
proto.151-Phascolarctos_cinereus	proto.151-diprodontia	151	proto.151	Phascolarctos_cinereus	4084	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00046	+	9975753	9979836	translated-genome	685	1185	2087	3613	516	716	75.194	0	1	9	0	NS[proto.151.Phascolarctos(+)]-VP[proto.151.Phascolarctos(+)]-VP[proto.101-Monodelphis(+)]
proto.152-Sarcophilus_harrisii	proto.152-Sarcophilus	152	proto.152	Sarcophilus_harrisii	3985	45	Mammalia	Unclassified	Dasyuromorphia	Dasyuridae	Sarcophilus	complete	goldenpath_sarHar1	sarHar1.fa_1.fa	chr1_GL834608_random	-	1658530	1662514	translated-genome	152	562	456	1688	411	855	100	0	1	0	0	VP[proto.158.Macropus(-)]-VP[proto.152.Sarcophilus(-)]-VP[proto.152.Sarcophilus(-)]-NS[proto.152.Sarcophilus(-)]
proto.153-Macropus_eugenii	proto.153-Macropus	153	proto.153	Macropus_eugenii	3302	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL081802	+	57978	61279	translated-genome	373	1010	1371	3299	647	1189	94.59	0	1	6	0	NS[proto.153.Macropus(+)]-VP[proto.157.Gymnobelideus(+)]-VP[proto.153.Macropus(+)]
proto.154-Phascolarctos_cinereus	proto.154-Phascolarctos	154	proto.154	Phascolarctos_cinereus	2067	24	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00062	+	3784485	3786551	translated-genome	170	669	535	2049	511	971	93.933	0	1	6	0	VP[proto.154.Phascolarctos(+)]
proto.155-Gymnobelideus_leadbeateri	proto.155-Gymnobelideus	155	proto.155	Gymnobelideus_leadbeateri	2967	56	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus	low_coverage	LBP_v1_scaffolds	GCA_011680675.1_LBP_v1_genomic.fna	WOXC01012016.1	-	61514	64480	translated-genome	540	963	1654	2928	425	889	99.765	0	1	1	0	VP[proto.155.Gymnobelideus(-)]-NS[proto.155.Gymnobelideus(-)]
proto.157-Gymnobelideus_leadbeateri	proto.157-Gymnobelideus	157	proto.157	Gymnobelideus_leadbeateri	3490	56	Mammalia	Unclassified	Diprotodontia	Petauridae	Gymnobelideus	low_coverage	LBP_v1_scaffolds	GCA_011680675.1_LBP_v1_genomic.fna	WOXC01008854.1	+	26629	30118	translated-genome	206	585	644	1798	391	649	86.701	0	1	4	0	NS[proto.157.Gymnobelideus(+)]-VP[proto.157.Gymnobelideus(+)]-VP[proto.157.Gymnobelideus(+)]
proto.158-Macropus_eugenii	proto.158-Macropus	158	proto.158	Macropus_eugenii	2665	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL142423	+	26977	29641	translated-genome	223	757	672	2300	548	967	90.693	0	1	6	0	NS[proto.158.Macropus(+)]-VP[proto.158.Macropus(+)]-VP[proto.158.Macropus(+)]
proto.160-Macropus_eugenii	proto.160-MacEug	160	proto.160	Macropus_eugenii	3220	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL132395	-	8143	11362	translated-genome	837	1050	2573	3217	215	427	97.209	0	1	1	0	VP[proto.160.Macropus(-)]-VP[proto.160.Macropus(-)]-NS[proto.108-Dinomys(-)]
proto.161-Macropus_eugenii	proto.161-MacEug	161	proto.161	Macropus_eugenii	3018	62	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus	low_coverage	goldenpath_macEug2	macEug2.fa	GL106615	+	51199	54216	translated-genome	475	779	1485	2525	351	414	72.08	0	1	8	0	NS[proto.161.Macropus(+)]-VP[proto.161.Macropus(+)]-VP[proto.161.Macropus(+)]-VP[proto.163.Phascolarctos(+)]
