sequenceID	in source?	locus_numeric_id	host_group_tax_rank	host_group_name	structure	#species	#seqs	In align?	assign_clade	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	intact orf(s)?	expressed?	nearest_upstream_orf	nearest_downstream_orf	human_chr	minimum_age_ortho	pubmed_id	insertion_name	insertion_full_name	virus_subfamily	source_name	virus_genus
dependo.43-octodon	yes	43	genus	Octodon	rep	5	5	yes	Dependo3	Glires	Dependo3	Glires	NULL	NULL	Rep	yes	NK	NK	NK		NA	dependo.43-octodon	dependo.43-octodon	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.44-bathyergidae	no	44	family	Bathyergidae	rep	2	2	no	Dependo3	NK	Dependo3	NK	NULL	NULL	no	nk	RPS12 	EYA4	NK	34	NA	dependo.44-bathyergidae	dependo.44-bathyergidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.45-bathyergidae	no	45	family	Bathyergidae	rep	2	2	no	Dependo3	Glires	Dependo3	Glires	NULL	NULL	no	nk	RPS12/SLC18B1	EYA4	NK		NA	dependo.45-bathyergidae	dependo.45-bathyergidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.46-gliridae	yes	46	family	Rodents	genome*	1	2	yes	Dependo3	Dependo_B	Dependo3	Dependo_B	Dependo3	Dependo_B	no	nk	?	?	NK		NA	dependo.46-gliridae	dependo.46-gliridae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.47-pedetes	yes	47	species	Pedetes capensis	rep	1	1	no	NK	NK	NK	NK	NK	NK	no	nk	ENSCLAG00000029159	TLE4	NK	NK	NA	dependo.47-pedetes	dependo.47-pedetes	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.48-mus	yes	48	species	Mus	rep	nk	nk	no	Dependo3	NK	Dependo3	NK	NK	NK	no	nk	?	?	NK		NA	dependo.48-rodent	dependo.48-rodent	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.49-apodemus	yes	49	species	Apodemus	nk	1	1	no	NK	NK	NK	NK	NK	NK	no	nk	NK	NK	NK		NA	dependo.49-apodemus	dependo.49-apodemus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.50-muridae	yes	50	family	Muridae	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	Pdzrn4	Pdzrn4	NK		NA	dependo.50-muridae	dependo.50-muridae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.51-muridae	yes	51	family	Muridae	rep	4	4	yes	NK	NK	NK	NK	NULL	NULL	no	nk	Eif4b	ENSMSIG00000016524	NK		NA	dependo.51-muridae	dependo.51-muridae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.53-cavia	yes	53	genus	Cavia	rep	nk	nk	yes	Dependo3	not defined	Dependo3	not defined	NULL		no	nk	NK	NK	NK		NA	dependo.53-cavia	dependo.53-cavia	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.54-cavia	yes	54	genus	Cavia	rep	3	3	no	Dependo3	Glires	Dependo3	Glires	NK	NK	no	nk	RBFOX2	Myo9-copy	NK		NA	dependo.54-cavia	dependo.54-cavia	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.55-rodent	yes	55	order	Rodents	rep	nk	nk	no	Dependo3	NK	Dependo3	NK	NULL	NULL	no	nk	ADNP	PARD6B	NK		NA	dependo.55-rodent	dependo.55-rodent	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.56-cavia	yes	56	family	Cavidae	rep	3	3	yes	Dependo3	Glires	Dependo3	Glires	NULL	NULL	no	nk	TRAT1	MORC1	NK		NA	dependo.56-cavia	dependo.56-cavia	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.58-castor	yes	58	species	Castor	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	NK	NK	NK		NA	dependo.58-castor	dependo.58-castor	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.59-hystricomorpha	yes	59	clade	hystricomorpha	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	ENSODET00000026911	MYH9	NK		NA	dependo.59-hystricomorpha	dependo.59-hystricomorpha	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.60-muscardinus	yes	60	species	Muscardinus	genome	1	1	no	Dependo3	NK	Dependo3	NK	Dependo3	NK	no	nk	NK	NK	NK	NK	NA	dependo.60-Muscardinus-avellanarius	dependo.60-Muscardinus-avellanarius	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.61-muscardinus	yes	61	species	Muscardinus	genome	1	1	no	Dependo3	NK	Dependo3	NK	Dependo3	NK	no	nk	NK	NK	NK	NK	NA	dependo.61-Muscardinus-avellanarius	dependo.61-Muscardinus-avellanarius	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.62-muscardinus	yes	62	species	Muscardinus	genome	1	1	no	Dependo3	NK	Dependo3	NK	Dependo3	NK	no	nk	NK	NK	NK	NK	NA	dependo.62-Muscardinus-avellanarius	dependo.62-Muscardinus-avellanarius	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.63-rodent	yes	63	order	Rodents	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	yes	LRRGT00080 	LRRGT00080	NK	NK	NA	dependo.63-rodent	dependo.63-rodent	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.64-rodents	yes	64	order	Rodents	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	NK	NK	NK		NA	dependo.64-rodents	dependo.64-rodents	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.75-apodemus	yes	75	species	Apodemus_sylvaticus	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	NK	NK	NK		NA	dependo.75-apodemus	dependo.75-apodemus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.76-muridae	yes	76	family	Muridae	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	NK	NK	NK		NA	dependo.50-muridae	dependo.50-muridae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.86-phyllostomidae	yes	86	family	Phyllostomidae	genome	10	10	yes	Dependo2	Lemuria	Dependo2	Lemuria	Dependo2	Lemuria	no	nk	ENSRFEG00010019855	HSF2	NK	NK	NA	dependo.86-Phyllostomidae	dependo.86-Phyllostomidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.87-megaderma	yes	87	species	Megaderma lytra	nk	1	1	no	Dependo3	not defined	Dependo3	not defined	Dependo3	not defined	no	nk	ACVR1	ACVR1C	NK	NK	NA	dependo.87-Megaderma	dependo.87-Megaderma	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.88-megaderma	yes	88	species	Megaderma lytra	nk	1	1	no	Dependo3	not defined	NULL	NULL	Dependo3	not defined	no	nk	ADAMTS2	U6	NK	NK	NA	dependo.88-Megaderma	dependo.88-Megaderma	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.92-craseonycteris	yes	92	species	Craseonycteris	rep	1	1	no	Dependo3	not defined	NULL	NULL	Dependo3	not defined	no	yes	GRM7	GRM7	NK	NK	NA	dependo.92-craseonycteris	dependo.92-craseonycteris	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.100-cuniculus	yes	100	species	Cuniculus paca	nk	1	1	yes	Dependo3	not defined	NULL	NULL	Dependo3	not defined	no	yes	MYH9	MYH9	NK		NA	dependo.100-cuniculus	dependo.100-cuniculus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.160-gymnobelideus	yes	160	order	Diprotodontia	genome	1	1	yes	Dependo3	Marsupial	Dependo3	Marsupial	Dependo3	Marsupial	no	yes	lncRNA (ENSMODG00000048968)	lncRNA (ENSMODG00000048968)	NK		NA	dependo.160-gymnobelideus	dependo.160-gymnobelideus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.162-macropus	yes	162	species	Macropus eugenii	genome	1	1	yes	Dependo3	Marsupial	Dependo3	Marsupial	Dependo3	Marsupial	no	nk?	NK	NK	NK		27377618	dependo.162-macropus	dependo.162-macropus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.163-macropus	yes	163	species	Macropus eugenii	genome	1	1	yes	Dependo3	Marsupial	Dependo3	Marsupial	Dependo3	Marsupial	no	nk?	NK	NK	NK		27377618	dependo.163-macropus	dependo.163-macropus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.164-macropus	yes	164	species	Macropus eugenii	genome	1	1	yes	Dependo3	Marsupial	Dependo3	Marsupial	Dependo3	Marsupial	no	nk?	NK	NK	NK		27377618	dependo.164-macropus	dependo.164-macropus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.174-PipPip	yes	174	species	Pipistrellus	genome	1	1	yes	Dependo3	Chiroptera	Dependo3	Chiroptera	Dependo3	Chiroptera	no	nk	NAV3	SYT1	NK	NK	NA	dependo.174-Pipistrellus-pipistrellus	dependo.174-Pipistrellus-pipistrellus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.175-procavia	yes	175	species	Procavia capensis	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	NK	NK	NK		NA	dependo.175-procavia	dependo.175-procavia	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.176-heterohyrax	yes	176	species	Heterohyrax	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	NK	NK	NK		NA	dependo.176-heterohyrax	dependo.176-heterohyrax	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.180-rhinolophus	yes	180	species	Rhinolophus-sinicus	genome	2	2	yes	NK	NK	NK	NK	NK	NK	no	nk	ENSRFEG00010005236	EPHA6	NK	NK	NA	dependo.180-Rhinolophus-sinicus	dependo.180-Rhinolophus-sinicus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.187-glis	yes	187	species	Glis glis	rep	1	1	no	Dependo3	NK	Dependo3	NK	NULL	NULL	no	nk	STPG2	U6	NK	NK	NA	dependo.187-glis	dependo.187-glis	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.190-sarcophilus	yes	190	order	Diprotodontia	rep	1	1	no	NK	NK	NK	NK	NK	NK	no	nk	ZNF385D	SGO1	NK		NA	dependo.191-sarcophilus	dependo.191-sarcophilus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.191-sarcophilus	yes	191	order	Diprotodontia	rep	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	ENSSHAG00000016096 (myoneurin)	ENSSHAG00000017014	NK		NA	dependo.191-sarcophilus	dependo.191-sarcophilus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.192-sarcophilus	yes	192	order	Diprotodontia	rep	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	ts	IGSF11	NK		NA	dependo.192-sarcophilus	dependo.192-sarcophilus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.197-ornithorhynchus	no	197	species	Ornithorhynchus	rep	1	1	no	Dependo2	Lemuria	Dependo2	Lemuria	NULL	NULL	no	nk	NK	NK	NK		NA	dependo.197-ornithorhynchus	dependo.197-ornithorhynchus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.198-ornithorhynchus	no	198	species	Ornithorhynchus	rep	1	1	no	NK	NK	NK	NK	NULL	NULL	no	nk	NK	NK	NK		NA	dependo.198-ornithorhynchus	dependo.198-ornithorhynchus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.199-ornithorhynchus	no	199	species	Ornithorhynchus	rep	1	1	no	Dependo2	Lemuria	Dependo2	Lemuria	NULL	NULL	no	nk	TBC1D32	ENSOANG00000014187	NK		NA	dependo.199-ornithorhynchus	dependo.199-ornithorhynchus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.201-thamnophis	yes	201	species	Thamnophis	vp	1	1	yes	NK	NK	NK	NK	NK	NK	no	nk	ENSRFEG00010017356	ENSRFEG00010017376	NK	NK	NA	dependo.201-thamnophis	dependo.201-thamnophis	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.202-thamnophis	yes	202	species	Thamnophis	vp	1	1	yes	NK	NK	NK	NK	NK	NK	no	nk	ENSRFEG00010017356	ENSRFEG00010017376	NK	NK	NA	dependo.202-thamnophis	dependo.202-thamnophis	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.203-gekko	yes	203	species	Gekko	rep	1	1	no	NK	NK	NK	NK	NULL	NULL	no	nk	NK	NK	NK	NK	NA	dependo.203-gekko	dependo.203-gekko	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.221-pelusios	no	221	species	Pelusios	rep	1	1	yes	NK	NK	Dependo1	Sauria	NULL	NULL	no	nk	ENSPCEG00000005322	ENSPCEG00000005322	NK	NK	NA	dependo.221-pelusios	dependo.221-pelusios	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.365-passeriformes	yes	365	order	Passeriformes	rep	7	7	yes	NK	NK	NK	NK	NULL	NULL	no	nk	ANKRD1	PCGF5	NK	NK	NA	dependo.365-passeriformes	dependo.365-passeriformes	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.366-passeriformes	yes	366	order	Passeriformes	rep	20	20	yes	NK	NK	NK	NK	NULL	NULL	no	nk	PTPN13	AFF1	NK	NK	NA	dependo.366-passeriformes	dependo.366-passeriformes	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.367-otididae	yes	367	family	Otididae	rep	nk	nk		NK	NK	NK	NK	NK	NK	no	nk	TMTC2	SLC6A15	NK		NA	dependo.367-otididae	dependo.367-otididae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.369-guarouba	yes	369	species	Guarouba	nk	nk	nk		NK	NK	NK	NK	NK	NK	no	nk	NK	NK	NK		NA	dependo.369-guarouba	dependo.369-guarouba	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.370-pelecanus	yes	370	species	Pelecanus	rep	1	1	yes	Dependo3	NK	Dependo3	NK	NULL	NULL	no	nk	KLF6	ENSSHBG00005014610	NK		NA	dependo.370-pelecanus	dependo.370-pelecanus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.371-egretta	yes	371	species	Egretta	rep	nk	nk		NK	NK	NK	NK	NULL	NULL	no	nk	PDE3A	AEBP2	NK		NA	dependo.367-otididae	dependo.367-otididae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.372-opisthocomus	yes	372	species	Opisthocomus	nk	nk	nk	no	NK	NK	NK	NK	NK	NK	no	nk	CEP85L	SLC35F1	NK		NA	dependo.372-opisthocomus	dependo.372-opisthocomus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
